condition,phase,n,storage_cost_per_char_mean,storage_cost_per_char_median,storage_cost_per_char_sum,stimulus_best_match_score_mean,stimulus_best_match_score_median,stimulus_best_match_score_sum,reuse_signal_count_mean,reuse_signal_count_median,reuse_signal_count_sum,new_path_count_mean,new_path_count_median,new_path_count_sum,stimulus_match_v2_context_support_mean_mean,stimulus_match_v2_context_support_mean_median,stimulus_match_v2_context_support_mean_sum,stimulus_match_v2_order_alignment_mean_mean,stimulus_match_v2_order_alignment_mean_median,stimulus_match_v2_order_alignment_mean_sum,pool_cp_top1_cp_mean,pool_cp_top1_cp_median,pool_cp_top1_cp_sum,pool_ev_top1_ev_mean,pool_ev_top1_ev_median,pool_ev_top1_ev_sum,mechanism_positive_mean,mechanism_positive_median,mechanism_positive_sum
calibration,cold_A,2,5.1,5.1,10.2,0.93107548,0.93107548,1.86215096,3.0,3.0,6.0,10.0,10.0,20.0,0.0,0.0,0.0,1.0,1.0,2.0,9.39419439,9.39419439,18.78838878,3.35485266,3.35485266,6.70970532,1.0,1.0,2.0
calibration,history_B,2,6.2,6.2,12.4,0.88331786,0.88331786,1.76663572,1.0,1.0,2.0,15.0,15.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,8.95785738,8.95785738,17.91571476,11.80615,11.80615,23.6123,1.0,1.0,2.0
calibration,probe_ordered_B,4,3.65,3.65,14.6,0.92371463,0.92371463,3.69485852,3.0,3.0,12.0,10.5,10.5,42.0,0.7578004,0.7578004,3.0312016,0.84840585,0.84840585,3.3936234,11.58407011,11.58407011,46.33628046,20.925306,20.925306,83.701224,0.5,0.5,2.0
control,cold_A,2,5.1,5.1,10.2,0.93107548,0.93107548,1.86215096,3.0,3.0,6.0,10.0,10.0,20.0,0.0,0.0,0.0,1.0,1.0,2.0,9.39419439,9.39419439,18.78838878,3.35485266,3.35485266,6.70970532,1.0,1.0,2.0
control,history_B,2,6.2,6.2,12.4,0.88331819,0.88331819,1.76663638,1.0,1.0,2.0,15.0,15.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,8.96113582,8.96113582,17.92227164,12.02931562,12.02931562,24.05863124,1.0,1.0,2.0
control,probe_ordered_B,2,5.7,5.7,11.4,0.91894059,0.91894059,1.83788118,3.0,3.0,6.0,16.0,16.0,32.0,0.75619462,0.75619462,1.51238924,0.87333333,0.87333333,1.74666666,10.82405759,10.82405759,21.64811518,16.224643,16.224643,32.449286,1.0,1.0,2.0
control,probe_permuted_B,2,3.9,3.9,7.8,0.91585417,0.91585417,1.83170834,15.0,15.0,30.0,9.0,9.0,18.0,0.76572042,0.76572042,1.53144084,0.83848505,0.83848505,1.6769701,19.481663,19.481663,38.963326,29.481663,29.481663,58.963326,1.0,1.0,2.0
treatment,cold_A,2,5.1,5.1,10.2,0.93107548,0.93107548,1.86215096,3.0,3.0,6.0,10.0,10.0,20.0,0.0,0.0,0.0,1.0,1.0,2.0,9.39419439,9.39419439,18.78838878,3.35485266,3.35485266,6.70970532,1.0,1.0,2.0
treatment,history_B,2,6.2,6.2,12.4,0.88331786,0.88331786,1.76663572,1.0,1.0,2.0,15.0,15.0,30.0,0.0,0.0,0.0,1.0,1.0,2.0,8.95785738,8.95785738,17.91571476,11.80615,11.80615,23.6123,1.0,1.0,2.0
treatment,probe_ordered_B,2,3.4,3.4,6.8,0.93130205,0.93130205,1.8626041,0.0,0.0,0.0,9.0,9.0,18.0,0.75560038,0.75560038,1.51120076,0.86362668,0.86362668,1.72725336,11.53688853,11.53688853,23.07377706,16.402065,16.402065,32.80413,0.0,0.0,0.0
treatment,probe_permuted_B,2,5.5,5.5,11.0,0.91152631,0.91152631,1.82305262,3.0,3.0,6.0,13.0,13.0,26.0,0.75442353,0.75442353,1.50884706,0.81760122,0.81760122,1.63520244,9.32328201,9.32328201,18.64656402,25.448547,25.448547,50.897094,1.0,1.0,2.0
