case_id,replicate,condition,start_key,run_id,phase,phase_index,label,template,text_len,input_text_preview,induction_growth_identity_created_count,hdb_structure_count,hdb_residual_diff_entry_count,hdb_diff_entry_with_memory_ref_count
H01,1,repeat,A,paper_e02_switch_H01_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,1,repeat,A,paper_e02_switch_H01_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,10.0,51.0,36.0,17.0
H01,1,switch,A,paper_e02_switch_H01_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,1,switch,A,paper_e02_switch_H01_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,11.0,55.0,38.0,18.0
H01,1,repeat,B,paper_e02_switch_H01_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,1,repeat,B,paper_e02_switch_H01_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,10.0,51.0,36.0,17.0
H01,1,switch,B,paper_e02_switch_H01_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,1,switch,B,paper_e02_switch_H01_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,11.0,55.0,38.0,18.0
H01,2,repeat,A,paper_e02_switch_H01_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,2,repeat,A,paper_e02_switch_H01_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,10.0,51.0,36.0,17.0
H01,2,switch,A,paper_e02_switch_H01_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,2,switch,A,paper_e02_switch_H01_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,11.0,55.0,38.0,18.0
H01,2,repeat,B,paper_e02_switch_H01_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,2,repeat,B,paper_e02_switch_H01_repeat_B_r2_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,10.0,51.0,36.0,17.0
H01,2,switch,B,paper_e02_switch_H01_switch_B_r2_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,2,switch,B,paper_e02_switch_H01_switch_B_r2_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,11.0,55.0,38.0,18.0
H01,3,repeat,A,paper_e02_switch_H01_repeat_A_r3_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,3,repeat,A,paper_e02_switch_H01_repeat_A_r3_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,10.0,51.0,36.0,17.0
H01,3,switch,A,paper_e02_switch_H01_switch_A_r3_e02_label_switch_holdout_confirm_v1,first,0,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,8.0,27.0,16.0,8.0
H01,3,switch,A,paper_e02_switch_H01_switch_A_r3_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,11.0,55.0,38.0,18.0
H01,3,repeat,B,paper_e02_switch_H01_repeat_B_r3_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,3,repeat,B,paper_e02_switch_H01_repeat_B_r3_e02_label_switch_holdout_confirm_v1,second,1,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,10.0,51.0,36.0,17.0
H01,3,switch,B,paper_e02_switch_H01_switch_B_r3_e02_label_switch_holdout_confirm_v1,first,0,陌钥,请重新登记代号{label}。,10,请重新登记代号陌钥。,8.0,27.0,16.0,8.0
H01,3,switch,B,paper_e02_switch_H01_switch_B_r3_e02_label_switch_holdout_confirm_v1,second,1,辰栈,请重新登记代号{label}。,10,请重新登记代号辰栈。,11.0,55.0,38.0,18.0
H02,1,repeat,A,paper_e02_switch_H02_repeat_A_r1_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,1,repeat,A,paper_e02_switch_H02_repeat_A_r1_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,10.0,51.0,36.0,17.0
H02,1,switch,A,paper_e02_switch_H02_switch_A_r1_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,1,switch,A,paper_e02_switch_H02_switch_A_r1_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,11.0,55.0,38.0,18.0
H02,1,repeat,B,paper_e02_switch_H02_repeat_B_r1_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
H02,1,repeat,B,paper_e02_switch_H02_repeat_B_r1_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,10.0,51.0,36.0,17.0
H02,1,switch,B,paper_e02_switch_H02_switch_B_r1_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
H02,1,switch,B,paper_e02_switch_H02_switch_B_r1_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,11.0,55.0,38.0,18.0
H02,2,repeat,A,paper_e02_switch_H02_repeat_A_r2_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,2,repeat,A,paper_e02_switch_H02_repeat_A_r2_e02_label_switch_holdout_confirm_v1,second,1,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,10.0,51.0,36.0,17.0
H02,2,switch,A,paper_e02_switch_H02_switch_A_r2_e02_label_switch_holdout_confirm_v1,first,0,霁函,请当场核对样本{label}。,10,请当场核对样本霁函。,8.0,27.0,16.0,8.0
H02,2,switch,A,paper_e02_switch_H02_switch_A_r2_e02_label_switch_holdout_confirm_v1,second,1,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,11.0,55.0,38.0,18.0
H02,2,repeat,B,paper_e02_switch_H02_repeat_B_r2_e02_label_switch_holdout_confirm_v1,first,0,岚策,请当场核对样本{label}。,10,请当场核对样本岚策。,8.0,27.0,16.0,8.0
