case_id,replicate,city,probe_text,reward_probe_drive,neutral_probe_drive,punish_probe_drive,reward_probe_margin,neutral_probe_margin,punish_probe_margin,reward_probe_execute,neutral_probe_execute,punish_probe_execute,reward_probe_local_hit,neutral_probe_local_hit,punish_probe_local_hit,reward_probe_text_hit,neutral_probe_text_hit,punish_probe_text_hit,reward_probe_reward_bonus,neutral_probe_reward_bonus,punish_probe_reward_bonus,reward_probe_punish_penalty,neutral_probe_punish_penalty,punish_probe_punish_penalty,reward_probe_overlay,neutral_probe_overlay,punish_probe_overlay,diff_reward_minus_neutral_drive,diff_neutral_minus_punish_drive,diff_reward_minus_punish_drive,diff_reward_minus_neutral_margin,diff_neutral_minus_punish_margin,diff_reward_minus_punish_margin,reward_bonus_effect,punish_penalty_effect,supports_reward_direction_drive,supports_punish_direction_drive,supports_ordered_drive,supports_ordered_margin,supports_reward_lookup,supports_punish_lookup,supports_neutral_quiet,supports_clean_causal_chain
F01,1,上海,上海天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F01,2,上海,上海天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F02,1,北京,北京天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F02,2,北京,北京天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F03,1,广州,广州天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F03,2,广州,广州天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F04,1,杭州,杭州天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F04,2,杭州,杭州天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F05,1,成都,成都天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F05,2,成都,成都天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F06,1,武汉,武汉天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
F06,2,武汉,武汉天气呢,0.282,0.49,0.098,-0.318,-0.11,-0.502,0,0,0,1,0,1,1,0,1,0.392,0.0,0.0,0.0,0.0,0.392,1,0,1,-0.208,0.392,0.184,-0.208,0.392,0.184,0.392,0.392,0,1,0,0,1,1,1,1
