case_id,branch,replicate,run_id,tick_index,phase,synthetic_tick,input_is_empty,source_dataset_tick_index,input_text_preview,teacher_rwd,teacher_pun,teacher_applied_count,teacher_attempted_count,action_attempted_weather_stub,action_executed_weather_stub,action_drive_weather_stub_max,action_drive_margin_weather_stub_max,action_local_lookup_hit_count_weather_stub,action_local_lookup_text_fallback_hit_count_weather_stub,action_local_reward_drive_bonus_total_weather_stub,action_local_punish_drive_penalty_total_weather_stub,teacher_local_alias_overlay_applied_count,teacher_local_alias_overlay_rwd,teacher_local_alias_overlay_pun,iesm_action_trigger_weather_stub_count,iesm_action_trigger_targeted_weather_stub_count,city_wrong,city_right,wrong_probe,right_probe
F01,corrected_history,1,paper_e04_F01_corrected_history_r1_e04_final_v1,7,probe_right,0,0,5,北京天气提示,0.0,0.0,0,0,1,0,0.282,-0.318,1,1,0.392,0.0,1,0.75,0.0,1,1,上海,北京,上海天气备忘,北京天气提示
F01,corrected_history,1,paper_e04_F01_corrected_history_r1_e04_final_v1,6,probe_wrong,0,0,4,上海天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.75,0.0,1,1,上海,北京,上海天气备忘,北京天气提示
F01,neutral_control,1,paper_e04_F01_neutral_control_r1_e04_final_v1,3,probe_right,0,0,3,北京天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,上海,北京,上海天气备忘,北京天气提示
F01,neutral_control,1,paper_e04_F01_neutral_control_r1_e04_final_v1,2,probe_wrong,0,0,2,上海天气备忘,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,上海,北京,上海天气备忘,北京天气提示
F01,punished_history,1,paper_e04_F01_punished_history_r1_e04_final_v1,4,probe_right,0,0,3,北京天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,上海,北京,上海天气备忘,北京天气提示
F01,punished_history,1,paper_e04_F01_punished_history_r1_e04_final_v1,3,probe_wrong,0,0,2,上海天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.0,0.7,1,1,上海,北京,上海天气备忘,北京天气提示
F02,corrected_history,1,paper_e04_F02_corrected_history_r1_e04_final_v1,7,probe_right,0,0,5,杭州天气提示,0.0,0.0,0,0,1,0,0.282,-0.318,1,1,0.392,0.0,1,0.75,0.0,1,1,广州,杭州,广州天气备忘,杭州天气提示
F02,corrected_history,1,paper_e04_F02_corrected_history_r1_e04_final_v1,6,probe_wrong,0,0,4,广州天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.0,0.7,1,1,广州,杭州,广州天气备忘,杭州天气提示
F02,neutral_control,1,paper_e04_F02_neutral_control_r1_e04_final_v1,3,probe_right,0,0,3,杭州天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,广州,杭州,广州天气备忘,杭州天气提示
F02,neutral_control,1,paper_e04_F02_neutral_control_r1_e04_final_v1,2,probe_wrong,0,0,2,广州天气备忘,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,广州,杭州,广州天气备忘,杭州天气提示
F02,punished_history,1,paper_e04_F02_punished_history_r1_e04_final_v1,4,probe_right,0,0,3,杭州天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,广州,杭州,广州天气备忘,杭州天气提示
F02,punished_history,1,paper_e04_F02_punished_history_r1_e04_final_v1,3,probe_wrong,0,0,2,广州天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.0,0.7,1,1,广州,杭州,广州天气备忘,杭州天气提示
F03,corrected_history,1,paper_e04_F03_corrected_history_r1_e04_final_v1,7,probe_right,0,0,5,武汉天气提示,0.0,0.0,0,0,1,0,0.282,-0.318,1,1,0.392,0.0,1,0.75,0.0,1,1,成都,武汉,成都天气备忘,武汉天气提示
F03,corrected_history,1,paper_e04_F03_corrected_history_r1_e04_final_v1,6,probe_wrong,0,0,4,成都天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.75,0.0,1,1,成都,武汉,成都天气备忘,武汉天气提示
F03,neutral_control,1,paper_e04_F03_neutral_control_r1_e04_final_v1,3,probe_right,0,0,3,武汉天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,成都,武汉,成都天气备忘,武汉天气提示
F03,neutral_control,1,paper_e04_F03_neutral_control_r1_e04_final_v1,2,probe_wrong,0,0,2,成都天气备忘,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,成都,武汉,成都天气备忘,武汉天气提示
F03,punished_history,1,paper_e04_F03_punished_history_r1_e04_final_v1,4,probe_right,0,0,3,武汉天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,成都,武汉,成都天气备忘,武汉天气提示
F03,punished_history,1,paper_e04_F03_punished_history_r1_e04_final_v1,3,probe_wrong,0,0,2,成都天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.0,0.7,1,1,成都,武汉,成都天气备忘,武汉天气提示
F04,corrected_history,1,paper_e04_F04_corrected_history_r1_e04_final_v1,7,probe_right,0,0,5,南京天气提示,0.0,0.0,0,0,1,0,0.282,-0.318,1,1,0.392,0.0,1,0.75,0.0,1,1,西安,南京,西安天气备忘,南京天气提示
F04,corrected_history,1,paper_e04_F04_corrected_history_r1_e04_final_v1,6,probe_wrong,0,0,4,西安天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.75,0.0,1,1,西安,南京,西安天气备忘,南京天气提示
F04,neutral_control,1,paper_e04_F04_neutral_control_r1_e04_final_v1,3,probe_right,0,0,3,南京天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,西安,南京,西安天气备忘,南京天气提示
F04,neutral_control,1,paper_e04_F04_neutral_control_r1_e04_final_v1,2,probe_wrong,0,0,2,西安天气备忘,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,西安,南京,西安天气备忘,南京天气提示
F04,punished_history,1,paper_e04_F04_punished_history_r1_e04_final_v1,4,probe_right,0,0,3,南京天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,西安,南京,西安天气备忘,南京天气提示
F04,punished_history,1,paper_e04_F04_punished_history_r1_e04_final_v1,3,probe_wrong,0,0,2,西安天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.0,0.7,1,1,西安,南京,西安天气备忘,南京天气提示
F05,corrected_history,1,paper_e04_F05_corrected_history_r1_e04_final_v1,7,probe_right,0,0,5,长沙天气提示,0.0,0.0,0,0,1,0,0.282,-0.318,1,1,0.392,0.0,1,0.75,0.0,1,1,苏州,长沙,苏州天气备忘,长沙天气提示
F05,corrected_history,1,paper_e04_F05_corrected_history_r1_e04_final_v1,6,probe_wrong,0,0,4,苏州天气备忘,0.0,0.0,0,0,0,0,0.098,-0.502,1,1,0.0,0.392,1,0.75,0.0,1,1,苏州,长沙,苏州天气备忘,长沙天气提示
F05,neutral_control,1,paper_e04_F05_neutral_control_r1_e04_final_v1,3,probe_right,0,0,3,长沙天气提示,0.0,0.0,0,0,0,0,0.49,-0.11,0,0,0.0,0.0,0,0.0,0.0,1,1,苏州,长沙,苏州天气备忘,长沙天气提示
