case_id,branch,replicate,run_id,tick_index,phase,synthetic_tick,input_is_empty,source_dataset_tick_index,input_text_preview,action_attempted_weather_stub,action_executed_weather_stub,action_executed_weather_stub_source_visible,action_scheduled_weather_stub,action_scheduled_weather_stub_source_visible,action_drive_weather_stub_max,action_drive_margin_weather_stub_max,action_node_weather_stub_count,action_active_weather_stub_count,action_ready_weather_stub_count,runtime_signal_node_count,runtime_signal_node_active_count,runtime_action_node_count,runtime_action_node_active_count,runtime_action_node_executed_count,runtime_action_target_ref_count,runtime_action_target_item_count,runtime_action_node_weather_stub_count,runtime_action_node_weather_stub_active_count,runtime_action_node_weather_stub_executed_count
F01,executed_history,1,paper_e05_F01_executed_history_r1_e05_final_v1,0,train,0,0,0,不是上海，是北京。我明天要去北京医院复查，北京天气提示，请帮我查一下。,1,0,0,0,0,0.11223506,-0.48776494,1,1,0,2,1,3,3,3,2,2,1,1,1
F01,executed_history,1,paper_e05_F01_executed_history_r1_e05_final_v1,1,buffer,0,0,1,我再确认一下复查的时间。,0,1,1,1,1,0.0,-0.6,1,0,0,2,1,4,1,4,3,3,1,0,1
F01,executed_history,1,paper_e05_F01_executed_history_r1_e05_final_v1,2,probe,0,0,2,北京天气提示,0,0,0,0,0,0.32536101,-0.27463899,1,1,0,2,1,5,2,5,4,4,1,1,1
F01,weak_only_control,1,paper_e05_F01_weak_only_control_r1_e05_final_v1,0,train,0,0,0,北京天气提示,0,0,0,0,0,0.22205505,-0.37794495,1,1,0,2,1,3,3,2,2,2,1,1,0
F01,weak_only_control,1,paper_e05_F01_weak_only_control_r1_e05_final_v1,1,buffer,0,0,1,我再确认一下复查的时间。,0,0,0,0,0,0.0,-0.6,1,0,0,2,1,4,2,3,3,3,1,0,0
F01,weak_only_control,1,paper_e05_F01_weak_only_control_r1_e05_final_v1,2,probe,0,0,2,北京天气提示,0,0,0,0,0,0.13487735,-0.46512265,1,1,0,2,1,5,2,4,4,4,1,1,0
F02,executed_history,1,paper_e05_F02_executed_history_r1_e05_final_v1,0,train,0,0,0,更正一下，不是广州，是杭州。我周末要去杭州外出拍照，杭州天气提示，请帮我查一下。,1,0,0,0,0,0.11454628,-0.48545372,1,1,0,2,1,3,3,3,2,2,1,1,1
F02,executed_history,1,paper_e05_F02_executed_history_r1_e05_final_v1,1,buffer,0,0,1,我再整理一下拍摄清单。,0,1,1,1,1,0.0,-0.6,1,0,0,2,1,4,1,4,3,3,1,0,1
F02,executed_history,1,paper_e05_F02_executed_history_r1_e05_final_v1,2,probe,0,0,2,杭州天气提示,0,0,0,0,0,0.32620838,-0.27379162,1,1,0,2,1,5,2,5,4,4,1,1,1
F02,weak_only_control,1,paper_e05_F02_weak_only_control_r1_e05_final_v1,0,train,0,0,0,杭州天气提示,0,0,0,0,0,0.22205505,-0.37794495,1,1,0,2,1,3,3,2,2,2,1,1,0
F02,weak_only_control,1,paper_e05_F02_weak_only_control_r1_e05_final_v1,1,buffer,0,0,1,我再整理一下拍摄清单。,0,0,0,0,0,0.0,-0.6,1,0,0,2,1,4,2,3,3,3,1,0,0
F02,weak_only_control,1,paper_e05_F02_weak_only_control_r1_e05_final_v1,2,probe,0,0,2,杭州天气提示,0,0,0,0,0,0.13307924,-0.46692076,1,1,0,2,1,5,2,4,4,4,1,1,0
F03,executed_history,1,paper_e05_F03_executed_history_r1_e05_final_v1,0,train,0,0,0,刚刚说错了，不是成都，是武汉。我明天要去武汉学校办手续，武汉天气提示，请帮我查一下。,1,0,0,0,0,0.11545808,-0.48454192,1,1,0,2,1,3,3,3,2,2,1,1,1
F03,executed_history,1,paper_e05_F03_executed_history_r1_e05_final_v1,1,buffer,0,0,1,我再确认一下办理流程。,0,1,1,1,1,0.0,-0.6,1,0,0,2,1,4,1,4,3,3,1,0,1
F03,executed_history,1,paper_e05_F03_executed_history_r1_e05_final_v1,2,probe,0,0,2,武汉天气提示,0,0,0,0,0,0.32654004,-0.27345996,1,1,0,2,1,5,2,5,4,4,1,1,1
F03,weak_only_control,1,paper_e05_F03_weak_only_control_r1_e05_final_v1,0,train,0,0,0,武汉天气提示,0,0,0,0,0,0.22205505,-0.37794495,1,1,0,2,1,3,3,2,2,2,1,1,0
F03,weak_only_control,1,paper_e05_F03_weak_only_control_r1_e05_final_v1,1,buffer,0,0,1,我再确认一下办理流程。,0,0,0,0,0,0.0,-0.6,1,0,0,2,1,4,2,3,3,3,1,0,0
F03,weak_only_control,1,paper_e05_F03_weak_only_control_r1_e05_final_v1,2,probe,0,0,2,武汉天气提示,0,0,0,0,0,0.13307924,-0.46692076,1,1,0,2,1,5,2,4,4,4,1,1,0
F04,executed_history,1,paper_e05_F04_executed_history_r1_e05_final_v1,0,train,0,0,0,更正一下，是去南京参加答辩。南京天气提示，请帮我查一下。,1,0,0,0,0,0.10773481,-0.49226519,1,1,0,2,1,3,3,3,2,2,1,1,1
