seed,branch,tick,bind_count,registered_count,updated_count,table_size,executed_count,first_due_tick,first_exec_task_key,first_exec_due_reason
123,delayed_off,1,1,0,0,0,0,0,,
123,delayed_off,2,1,0,0,0,0,0,,
123,delayed_off,3,1,0,0,0,0,0,,
123,delayed_off,4,1,0,0,0,0,0,,
123,delayed_off,5,1,0,0,0,0,0,,
123,delayed_on,1,1,1,0,1,0,3,,
123,delayed_on,2,1,0,1,1,0,3,,
123,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000559_000674,tick>=due(3>=3-tol0)
123,delayed_on,4,1,0,0,0,0,0,,
123,delayed_on,5,1,0,0,0,0,0,,
ABX,delayed_off,1,1,0,0,0,0,0,,
ABX,delayed_off,2,1,0,0,0,0,0,,
ABX,delayed_off,3,1,0,0,0,0,0,,
ABX,delayed_off,4,1,0,0,0,0,0,,
ABX,delayed_off,5,1,0,0,0,0,0,,
ABX,delayed_on,1,1,1,0,1,0,3,,
ABX,delayed_on,2,1,1,0,2,0,3,,
ABX,delayed_on,3,1,1,0,2,1,4,anchor_item::spi_20260512000521_000019,tick>=due(3>=3-tol0)
ABX,delayed_on,4,1,1,0,2,1,5,anchor_item::spi_20260512000521_000020,tick>=due(4>=4-tol0)
ABX,delayed_on,5,1,0,1,1,1,6,anchor_item::spi_20260512000522_000058,tick>=due(5>=5-tol0)
CDQ,delayed_off,1,1,0,0,0,0,0,,
CDQ,delayed_off,2,1,0,0,0,0,0,,
CDQ,delayed_off,3,1,0,0,0,0,0,,
CDQ,delayed_off,4,1,0,0,0,0,0,,
CDQ,delayed_off,5,1,0,0,0,0,0,,
CDQ,delayed_on,1,1,1,0,1,0,3,,
CDQ,delayed_on,2,1,0,1,1,0,3,,
CDQ,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000532_000240,tick>=due(3>=3-tol0)
CDQ,delayed_on,4,1,0,0,0,0,0,,
CDQ,delayed_on,5,1,0,0,0,0,0,,
GH#,delayed_off,1,1,0,0,0,0,0,,
GH#,delayed_off,2,1,0,0,0,0,0,,
GH#,delayed_off,3,1,0,0,0,0,0,,
GH#,delayed_off,4,1,0,0,0,0,0,,
GH#,delayed_off,5,1,0,0,0,0,0,,
GH#,delayed_on,1,1,1,0,1,0,3,,
GH#,delayed_on,2,1,0,1,1,0,3,,
GH#,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000659_001517,tick>=due(3>=3-tol0)
GH#,delayed_on,4,1,0,0,0,0,0,,
GH#,delayed_on,5,1,0,0,0,0,0,,
JK?,delayed_off,1,1,0,0,0,0,0,,
JK?,delayed_off,2,1,0,0,0,0,0,,
JK?,delayed_off,3,1,0,0,0,0,0,,
JK?,delayed_off,4,1,0,0,0,0,0,,
JK?,delayed_off,5,1,0,0,0,0,0,,
JK?,delayed_on,1,1,1,0,1,0,3,,
JK?,delayed_on,2,1,0,1,1,0,3,,
JK?,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000639_001228,tick>=due(3>=3-tol0)
JK?,delayed_on,4,1,0,0,0,0,0,,
JK?,delayed_on,5,1,0,0,0,0,0,,
KLM,delayed_off,1,1,0,0,0,0,0,,
KLM,delayed_off,2,1,0,0,0,0,0,,
KLM,delayed_off,3,1,0,0,0,0,0,,
KLM,delayed_off,4,1,0,0,0,0,0,,
KLM,delayed_off,5,1,0,0,0,0,0,,
KLM,delayed_on,1,1,1,0,1,0,3,,
KLM,delayed_on,2,1,0,1,1,0,3,,
KLM,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000541_000374,tick>=due(3>=3-tol0)
KLM,delayed_on,4,1,0,0,0,0,0,,
KLM,delayed_on,5,1,0,0,0,0,0,,
L2R,delayed_off,1,1,0,0,0,0,0,,
L2R,delayed_off,2,1,0,0,0,0,0,,
L2R,delayed_off,3,1,0,0,0,0,0,,
L2R,delayed_off,4,1,0,0,0,0,0,,
L2R,delayed_off,5,1,0,0,0,0,0,,
L2R,delayed_on,1,1,1,0,1,0,3,,
L2R,delayed_on,2,1,0,1,1,0,3,,
L2R,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000649_001363,tick>=due(3>=3-tol0)
L2R,delayed_on,4,1,0,0,0,0,0,,
L2R,delayed_on,5,1,0,0,0,0,0,,
MNO,delayed_off,1,1,0,0,0,0,0,,
MNO,delayed_off,2,1,0,0,0,0,0,,
MNO,delayed_off,3,1,0,0,0,0,0,,
MNO,delayed_off,4,1,0,0,0,0,0,,
MNO,delayed_off,5,1,0,0,0,0,0,,
MNO,delayed_on,1,1,1,0,1,0,3,,
MNO,delayed_on,2,1,0,1,1,0,3,,
MNO,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000628_001086,tick>=due(3>=3-tol0)
MNO,delayed_on,4,1,0,0,0,0,0,,
MNO,delayed_on,5,1,0,0,0,0,0,,
PQT,delayed_off,1,1,0,0,0,0,0,,
PQT,delayed_off,2,1,0,0,0,0,0,,
PQT,delayed_off,3,1,0,0,0,0,0,,
PQT,delayed_off,4,1,0,0,0,0,0,,
PQT,delayed_off,5,1,0,0,0,0,0,,
PQT,delayed_on,1,1,1,0,1,0,3,,
PQT,delayed_on,2,1,0,1,1,0,3,,
PQT,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000550_000540,tick>=due(3>=3-tol0)
PQT,delayed_on,4,1,0,0,0,0,0,,
PQT,delayed_on,5,1,0,0,0,0,0,,
UV7,delayed_off,1,1,0,0,0,0,0,,
UV7,delayed_off,2,1,0,0,0,0,0,,
UV7,delayed_off,3,1,0,0,0,0,0,,
UV7,delayed_off,4,1,0,0,0,0,0,,
UV7,delayed_off,5,1,0,0,0,0,0,,
UV7,delayed_on,1,1,1,0,1,0,3,,
UV7,delayed_on,2,1,0,1,1,0,3,,
UV7,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000618_000964,tick>=due(3>=3-tol0)
UV7,delayed_on,4,1,0,0,0,0,0,,
UV7,delayed_on,5,1,0,0,0,0,0,,
XYZ!,delayed_off,1,1,0,0,0,0,0,,
XYZ!,delayed_off,2,1,0,0,0,0,0,,
XYZ!,delayed_off,3,1,0,0,0,0,0,,
XYZ!,delayed_off,4,1,0,0,0,0,0,,
XYZ!,delayed_off,5,1,0,0,0,0,0,,
XYZ!,delayed_on,1,1,1,0,1,0,3,,
XYZ!,delayed_on,2,1,0,1,1,0,3,,
XYZ!,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000608_000802,tick>=due(3>=3-tol0)
XYZ!,delayed_on,4,1,0,0,0,0,0,,
XYZ!,delayed_on,5,1,0,0,0,0,0,,
Z9$,delayed_off,1,1,0,0,0,0,0,,
Z9$,delayed_off,2,1,0,0,0,0,0,,
Z9$,delayed_off,3,1,0,0,0,0,0,,
Z9$,delayed_off,4,1,0,0,0,0,0,,
Z9$,delayed_off,5,1,0,0,0,0,0,,
Z9$,delayed_on,1,1,1,0,1,0,3,,
Z9$,delayed_on,2,1,0,1,1,0,3,,
Z9$,delayed_on,3,1,0,0,0,1,0,anchor_item::spi_20260512000708_001652,tick>=due(3>=3-tol0)
Z9$,delayed_on,4,1,0,0,0,0,0,,
Z9$,delayed_on,5,1,0,0,0,0,0,,
