family,branch,baseline_conforms,modulation_input_reason,modulation_input_top_n,modulation_input_attention_energy_budget,attention_top_n,cam_item_count,cam_budget_used,cam_budget_cap,attention_energy_budget,attention_net_delta_energy
ALF,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
ALF,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
ALF,mid,1,,0,0.0,16,16,16,16,8.0,8.0
BRV,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
BRV,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
BRV,mid,1,,0,0.0,16,16,16,16,8.0,8.0
CRN,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
CRN,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
CRN,mid,1,,0,0.0,16,16,16,16,8.0,8.0
DLT,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
DLT,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
DLT,mid,1,,0,0.0,16,16,16,16,8.0,8.0
ECH,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
ECH,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
ECH,mid,1,,0,0.0,16,16,16,16,8.0,8.0
FOX,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
FOX,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
FOX,mid,1,,0,0.0,16,16,16,16,8.0,8.0
GLF,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
GLF,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
GLF,mid,1,,0,0.0,16,16,16,16,8.0,8.0
HZN,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
HZN,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
HZN,mid,1,,0,0.0,16,16,16,16,8.0,8.0
IVY,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
IVY,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
IVY,mid,1,,0,0.0,16,16,16,16,8.0,8.0
JDE,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
JDE,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
JDE,mid,1,,0,0.0,16,16,16,16,8.0,8.0
KAI,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
KAI,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
KAI,mid,1,,0,0.0,16,16,16,16,8.0,8.0
LUX,high,1,attention_focus_mode,11,10.0,11,11,11,11,10.0,10.00000001
LUX,low,1,attention_diverge_mode,21,6.0,21,21,21,21,6.0,6.00000009
LUX,mid,1,,0,0.0,16,16,16,16,8.0,8.0
