family,seed_text,cue_text,branch,promotion_enabled,seed_present,cue_present,dataset_id,dataset_sha256,run_id,tick_count,source_tick_done,baseline_conforms,memory_path_mode,observe_time_like,observe_internal_time_like,observe_wildcard,observe_shadow_candidate,observe_shadow_eligible,observe_shadow_time_like_nonzero,observe_shadow_wildcard,observe_shadow_time_bonus,observe_shadow_promoted,observe_selected_promoted,shadow_candidate_count,shadow_eligible_count,shadow_promoted_count,selected_promoted_count,shadow_time_like_score_mean,shadow_time_bonus_mean,whitebox_memory_item_count,whitebox_older_runtime_memory_visible_count,whitebox_selected_match_mode,whitebox_selected_match_structure_id,whitebox_selected_match_display,whitebox_shadow_candidate_kind,whitebox_shadow_memory_id,whitebox_shadow_promoted_structure_id,whitebox_shadow_wildcard_applied,whitebox_shadow_match_mode
F01,ABX,A,off_matched,0,1,1,paper_e08_e08_final_v1_F01_off_matched,daf31fec09495b691935eb0081e77472826624653acdb9a85d67f9d3c1529b07,paper_e08_e08_final_v1_F01_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000057,{A},,,,0,
F01,ABX,A,on_matched,1,1,1,paper_e08_e08_final_v1_F01_on_matched,acbb0b41c67d6f0c0800c5cd6204acd38f93fa109da176e3196ae7e562f6cbc3,paper_e08_e08_final_v1_F01_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000030,{(A + stimulus_intensity:1.0) + (B + stimulus_intensity:1.0) + (X + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000006,st_000030,1,shadow_raw_residual_memory
F01,ABX,A,on_no_cue,1,1,0,paper_e08_e08_final_v1_F01_on_no_cue,42723b7c6c86fa370e2e77d8c68bca9d63fb7ae476fabdbbd6c8fc3940ee38e9,paper_e08_e08_final_v1_F01_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F01,ABX,A,on_no_seed,1,0,1,paper_e08_e08_final_v1_F01_on_no_seed,5517fb48554f4398c72fe5ac7955b52d346dd99cc5a270a415576638c84f99a7,paper_e08_e08_final_v1_F01_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F02,CDQ,C,off_matched,0,1,1,paper_e08_e08_final_v1_F02_off_matched,cf1baf4696f8ae3bb3941d94b604223a99fd537268b874f268bfc440f8929a37,paper_e08_e08_final_v1_F02_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000143,{C},,,,0,
F02,CDQ,C,on_matched,1,1,1,paper_e08_e08_final_v1_F02_on_matched,4bd43123da08bb4a8bcb3f063aafaec8a810d0c5693ac42220c04a3540c0ca9b,paper_e08_e08_final_v1_F02_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000116,{(C + stimulus_intensity:1.0) + (D + stimulus_intensity:1.0) + (Q + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000028,st_000116,1,shadow_raw_residual_memory
F02,CDQ,C,on_no_cue,1,1,0,paper_e08_e08_final_v1_F02_on_no_cue,8d42de78d709e71445920ba11595e8a8204197ecdaab12ceae7fdb1b8c26d36e,paper_e08_e08_final_v1_F02_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F02,CDQ,C,on_no_seed,1,0,1,paper_e08_e08_final_v1_F02_on_no_seed,f59f479dc050df4799800242a293a589156394b0b261c98d49f53710564594f6,paper_e08_e08_final_v1_F02_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F03,KLM,K,off_matched,0,1,1,paper_e08_e08_final_v1_F03_off_matched,afec2102f803ad07d0ad5442c8620f80f72373b2d110aad36d694e86b875465d,paper_e08_e08_final_v1_F03_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000229,{K},,,,0,
F03,KLM,K,on_matched,1,1,1,paper_e08_e08_final_v1_F03_on_matched,c30cd1fcc7c7bc7a3e70b99e3bd26c663c149f5654ea49e42a2c69e5f0a40685,paper_e08_e08_final_v1_F03_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000202,{(K + stimulus_intensity:1.0) + (L + stimulus_intensity:1.0) + (M + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000050,st_000202,1,shadow_raw_residual_memory
F03,KLM,K,on_no_cue,1,1,0,paper_e08_e08_final_v1_F03_on_no_cue,bc39aeccded51ba069c27f343cf8102f09e58948fca1d8d361b3911a5d4aee80,paper_e08_e08_final_v1_F03_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F03,KLM,K,on_no_seed,1,0,1,paper_e08_e08_final_v1_F03_on_no_seed,2d114b466163542bf07299e04b2addc9fcaddf3da4b6c196f1b220a523ca60f3,paper_e08_e08_final_v1_F03_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F04,PQT,P,off_matched,0,1,1,paper_e08_e08_final_v1_F04_off_matched,a0184345916cc6f74016b8a2df4626460e8125aa02f3c8bc0735494145505851,paper_e08_e08_final_v1_F04_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000315,{P},,,,0,
