family,baseline_conforms_all,on_matched_pass,off_matched_quiet,on_no_seed_quiet,on_no_cue_quiet,on_matched_promoted_count,on_matched_selected_promoted_count,off_matched_promoted_count,on_no_seed_promoted_count,on_no_cue_promoted_count,all_ok
F01,1,1,1,1,1,1,1,0,0,0,1
F02,1,1,1,1,1,1,1,0,0,0,1
F03,1,1,1,1,1,1,1,0,0,0,1
F04,1,1,1,1,1,1,1,0,0,0,1
F05,1,1,1,1,1,1,1,0,0,0,1
F06,1,1,1,1,1,1,1,0,0,0,1
F07,1,1,1,1,1,1,1,0,0,0,1
F08,1,1,1,1,1,1,1,0,0,0,1
F09,1,1,1,1,1,1,1,0,0,0,1
F10,1,1,1,1,1,1,1,0,0,0,1
F11,1,1,1,1,1,1,1,0,0,0,1
F12,1,1,1,1,1,1,1,0,0,0,1
