family,branch,prior_cp_abs,second_cp_abs,second_grasp_score,second_core_complexity_score,second_punish_state,baseline_pair_ready,has_relief,has_correct_event,has_reassurance,has_complexity,has_simplicity,relief_strength,correct_event_strength,reassurance_strength,bind_reward_signal,bind_cfs_correctness,bind_cfs_reassurance,action_focus_triggered,direct_da_delta,direct_ser_delta,direct_oxy_delta,direct_end_delta,direct_cor_delta,direct_adr_delta,attrs,actions,nt_correct_da_positive,nt_correct_oxy_positive,nt_correct_ser_positive,nt_correct_foc_positive,nt_correct_da_delta,nt_correct_oxy_delta,nt_correct_ser_delta,nt_correct_foc_delta,nt_relief_end_positive,nt_relief_ser_positive,nt_relief_oxy_positive,nt_relief_cor_negative,nt_relief_adr_negative,nt_relief_end_delta,nt_relief_ser_delta,nt_relief_oxy_delta,nt_relief_cor_delta,nt_relief_adr_delta,nt_reassure_ser_positive,nt_reassure_oxy_positive,nt_reassure_end_positive,nt_reassure_da_positive,nt_reassure_foc_positive,nt_reassure_cor_negative,nt_reassure_adr_negative,nt_reassure_ser_delta,nt_reassure_oxy_delta,nt_reassure_end_delta,nt_reassure_da_delta,nt_reassure_foc_delta,nt_reassure_cor_delta,nt_reassure_adr_delta
F01,correct_event_block_current_cp,1.18,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01,correct_event_on,1.18,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.72571429,0.0,1,1,0,1,0.08708571,0.04708571,0.06405714,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.08708571,0.05805714,0.03628571,0.02177143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01,reassurance_block_high_complexity,1.18,0.3,0.48,0.46,0.18,1,1,1,0,1,0,0.24,0.72571429,0.0,1,1,0,1,0.08708571,0.04708571,0.06225714,0.0258,0.01157143,0.00797143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.08708571,0.05805714,0.03628571,0.02177143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01,reassurance_block_high_punish,1.18,0.3,0.48,0.22,0.72,1,0,1,0,1,0,0.0,0.72571429,0.0,1,1,0,1,0.08708571,0.03628571,0.05085714,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.08708571,0.05805714,0.03628571,0.02177143,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01,reassurance_block_low_grasp,1.18,0.3,0.12,0.22,0.18,1,1,1,0,1,0,0.24,0.72571429,0.0,1,1,0,1,0.08708571,0.04708571,0.06225714,0.0258,0.0078,0.0042,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.08708571,0.05805714,0.03628571,0.02177143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F01,reassurance_on,1.18,0.3,0.48,0.22,0.18,1,1,1,1,1,1,0.24,0.72571429,0.54492308,1,1,1,1,0.10830879,0.0949811,0.0895033,0.05544769,-0.01887231,-0.01239846,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.08708571,0.05805714,0.03628571,0.02177143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.03269538,0.02724615,0.01634769,0.01362308,0.01089846,-0.01907231,-0.01089846
F01,relief_only,1.18,0.5,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F02,correct_event_block_current_cp,1.22,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F02,correct_event_on,1.22,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.76,0.0,1,1,0,1,0.0912,0.0488,0.0668,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.0912,0.0608,0.038,0.0228,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F02,reassurance_block_high_complexity,1.22,0.28,0.52,0.46,0.16,1,1,1,0,1,0,0.24,0.77714286,0.0,1,1,0,1,0.09325714,0.04965714,0.06657143,0.0248,0.00997143,0.00717143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09325714,0.06217143,0.03885714,0.02331429,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
