family,baseline_conforms_all,relief_only_pass,correct_event_on_pass,correct_event_block_quiet,reassurance_on_pass,block_high_punish_quiet,block_low_grasp_quiet,block_high_complexity_quiet,relief_strength,correct_event_strength,reassurance_strength,reassure_on_punish_state,block_high_punish_state,reassure_on_grasp_score,block_low_grasp_score,reassure_on_core_complexity_score,block_high_complexity_score,all_ok
F01,1,1,1,1,1,1,1,1,0.24,0.72571429,0.54492308,0.18,0.72,0.48,0.12,0.22,0.46,1
F02,1,1,1,1,1,1,1,1,0.24,0.76,0.604,0.16,0.72,0.52,0.12,0.24,0.46,1
F03,1,1,1,1,1,1,1,1,0.24,0.79428571,0.66307692,0.2,0.72,0.56,0.12,0.18,0.46,1
F04,1,1,1,1,1,1,1,1,0.24,0.82857143,0.72215385,0.22,0.72,0.6,0.12,0.2,0.46,1
F05,1,1,1,1,1,1,1,1,0.24,0.86285714,0.68276923,0.24,0.72,0.44,0.12,0.26,0.46,1
F06,1,1,1,1,1,1,1,1,0.24,0.89714286,0.70246154,0.26,0.72,0.46,0.12,0.28,0.46,1
F07,1,1,1,1,1,1,1,1,0.24,0.74285714,0.64338462,0.12,0.72,0.62,0.12,0.16,0.46,1
F08,1,1,1,1,1,1,1,1,0.24,0.77714286,0.70246154,0.1,0.72,0.66,0.12,0.14,0.46,1
F09,1,1,1,1,1,1,1,1,0.24,0.81142857,0.58430769,0.28,0.72,0.42,0.12,0.3,0.46,1
F10,1,1,1,1,1,1,1,1,0.24,0.84571429,0.604,0.3,0.72,0.4,0.12,0.32,0.46,1
F11,1,1,1,1,1,1,1,1,0.24,0.88,0.75169231,0.14,0.72,0.5,0.12,0.21,0.46,1
F12,1,1,1,1,1,1,1,1,0.24,0.91428571,0.732,0.19,0.72,0.54,0.12,0.23,0.46,1
