family,stage,has_focus_object,repeat_attention_penalty,attention_priority,semantic_context_key,repeat_key,gap_calls,carried_strength,state_pool_candidate_count,repeat_penalty_selected_count,repeat_penalty_total
F01,first,1,0.0,1.41,ctx:F01:A,semctx:ctx:F01:A,0,0.0,2,0,0.0
F01,recovered,1,0.01171875,1.39828125,ctx:F01:A,semctx:ctx:F01:A,3,0.0234375,2,2,0.12109375
F01,same,1,0.25,1.16,ctx:F01:A,semctx:ctx:F01:A,1,0.5,2,2,0.5
F01,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F01,variant,1,0.0,1.41,ctx:F01:A_variant,semctx:ctx:F01:A_variant,0,0.0,2,1,0.375
F02,first,1,0.0,1.4185,ctx:F02:A,semctx:ctx:F02:A,0,0.0,2,0,0.0
F02,recovered,1,0.01171875,1.40678125,ctx:F02:A,semctx:ctx:F02:A,3,0.0234375,2,2,0.12109375
F02,same,1,0.25,1.1685,ctx:F02:A,semctx:ctx:F02:A,1,0.5,2,2,0.5
F02,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F02,variant,1,0.0,1.4185,ctx:F02:A_variant,semctx:ctx:F02:A_variant,0,0.0,2,1,0.375
F03,first,1,0.0,1.427,ctx:F03:A,semctx:ctx:F03:A,0,0.0,2,0,0.0
F03,recovered,1,0.01171875,1.41528125,ctx:F03:A,semctx:ctx:F03:A,3,0.0234375,2,2,0.12109375
F03,same,1,0.25,1.177,ctx:F03:A,semctx:ctx:F03:A,1,0.5,2,2,0.5
F03,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F03,variant,1,0.0,1.427,ctx:F03:A_variant,semctx:ctx:F03:A_variant,0,0.0,2,1,0.375
F04,first,1,0.0,1.4355,ctx:F04:A,semctx:ctx:F04:A,0,0.0,2,0,0.0
F04,recovered,1,0.01171875,1.42378125,ctx:F04:A,semctx:ctx:F04:A,3,0.0234375,2,2,0.12109375
F04,same,1,0.25,1.1855,ctx:F04:A,semctx:ctx:F04:A,1,0.5,2,2,0.5
F04,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F04,variant,1,0.0,1.4355,ctx:F04:A_variant,semctx:ctx:F04:A_variant,0,0.0,2,1,0.375
F05,first,1,0.0,1.444,ctx:F05:A,semctx:ctx:F05:A,0,0.0,2,0,0.0
F05,recovered,1,0.01171875,1.43228125,ctx:F05:A,semctx:ctx:F05:A,3,0.0234375,2,2,0.12109375
F05,same,1,0.25,1.194,ctx:F05:A,semctx:ctx:F05:A,1,0.5,2,2,0.5
F05,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F05,variant,1,0.0,1.444,ctx:F05:A_variant,semctx:ctx:F05:A_variant,0,0.0,2,1,0.375
F06,first,1,0.0,1.393,ctx:F06:A,semctx:ctx:F06:A,0,0.0,2,0,0.0
F06,recovered,1,0.01171875,1.38128125,ctx:F06:A,semctx:ctx:F06:A,3,0.0234375,2,2,0.12109375
F06,same,1,0.25,1.143,ctx:F06:A,semctx:ctx:F06:A,1,0.5,2,2,0.5
F06,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F06,variant,1,0.0,1.393,ctx:F06:A_variant,semctx:ctx:F06:A_variant,0,0.0,2,1,0.375
F07,first,1,0.0,1.3845,ctx:F07:A,semctx:ctx:F07:A,0,0.0,2,0,0.0
F07,recovered,1,0.01171875,1.37278125,ctx:F07:A,semctx:ctx:F07:A,3,0.0234375,2,2,0.12109375
F07,same,1,0.25,1.1345,ctx:F07:A,semctx:ctx:F07:A,1,0.5,2,2,0.5
F07,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F07,variant,1,0.0,1.3845,ctx:F07:A_variant,semctx:ctx:F07:A_variant,0,0.0,2,1,0.375
F08,first,1,0.0,1.4015,ctx:F08:A,semctx:ctx:F08:A,0,0.0,2,0,0.0
F08,recovered,1,0.01171875,1.38978125,ctx:F08:A,semctx:ctx:F08:A,3,0.0234375,2,2,0.12109375
F08,same,1,0.25,1.1515,ctx:F08:A,semctx:ctx:F08:A,1,0.5,2,2,0.5
F08,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F08,variant,1,0.0,1.4015,ctx:F08:A_variant,semctx:ctx:F08:A_variant,0,0.0,2,1,0.375
F09,first,1,0.0,1.41,ctx:F09:A,semctx:ctx:F09:A,0,0.0,2,0,0.0
F09,recovered,1,0.01171875,1.39828125,ctx:F09:A,semctx:ctx:F09:A,3,0.0234375,2,2,0.12109375
F09,same,1,0.25,1.16,ctx:F09:A,semctx:ctx:F09:A,1,0.5,2,2,0.5
F09,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
F09,variant,1,0.0,1.41,ctx:F09:A_variant,semctx:ctx:F09:A_variant,0,0.0,2,1,0.375
F10,first,1,0.0,1.4185,ctx:F10:A,semctx:ctx:F10:A,0,0.0,2,0,0.0
F10,recovered,1,0.01171875,1.40678125,ctx:F10:A,semctx:ctx:F10:A,3,0.0234375,2,2,0.12109375
F10,same,1,0.25,1.1685,ctx:F10:A,semctx:ctx:F10:A,1,0.5,2,2,0.5
F10,skip,0,0.0,0.0,,,0,0.0,2,0,0.0
