family,branch,fatigue,nov_state,reward_state,core_complexity_score,has_repetition,has_boredom,repetition_strength,boredom_strength,bind_cfs_repetition,bind_cfs_boredom,attrs,nt_repetition_cor_positive,nt_repetition_end_positive,nt_repetition_ser_negative,nt_repetition_nov_negative,nt_repetition_cor_delta,nt_repetition_end_delta,nt_repetition_ser_delta,nt_repetition_nov_delta,nt_boredom_nov_negative,nt_boredom_da_negative,nt_boredom_foc_negative,nt_boredom_ser_negative,nt_boredom_end_positive,nt_boredom_nov_delta,nt_boredom_da_delta,nt_boredom_foc_delta,nt_boredom_ser_delta,nt_boredom_end_delta
F01,boredom_block_high_complexity,0.22,0.1,0.05,0.5,1,0,0.82,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0164,0.0205,-0.0123,-0.041,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F01,boredom_block_high_nov,0.22,0.3,0.05,0.2,1,0,0.82,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0164,0.0205,-0.0123,-0.041,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F01,boredom_block_high_reward,0.22,0.1,0.35,0.2,1,0,0.82,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0164,0.0205,-0.0123,-0.041,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F01,boredom_on,0.22,0.1,0.05,0.2,1,1,0.82,0.84,1,1,cfs_boredom|cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0164,0.0205,-0.0123,-0.041,1,1,1,1,1,-0.0546,-0.0294,-0.021,-0.01008,0.021
F01,fatigue_low_quiet,0.1,0.1,0.05,0.2,0,0,0.0,0.0,0,0,cfs_complexity|cfs_dissonance,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F02,boredom_block_high_complexity,0.21,0.1,0.05,0.5,1,0,0.76,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0152,0.019,-0.0114,-0.038,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F02,boredom_block_high_nov,0.21,0.3,0.05,0.2,1,0,0.76,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0152,0.019,-0.0114,-0.038,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F02,boredom_block_high_reward,0.21,0.1,0.35,0.2,1,0,0.76,0.0,1,0,cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0152,0.019,-0.0114,-0.038,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
F02,boredom_on,0.21,0.1,0.05,0.2,1,1,0.76,0.80117647,1,1,cfs_boredom|cfs_complexity|cfs_dissonance|cfs_repetition,1,1,1,1,0.0152,0.019,-0.0114,-0.038,1,1,1,1,1,-0.05207647,-0.02804118,-0.02002941,-0.00961412,0.02002941
F02,fatigue_low_quiet,0.1,0.1,0.05,0.2,0,0,0.0,0.0,0,0,cfs_complexity|cfs_dissonance,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
