family,attention_first_zero,attention_same_positive,attention_variant_zero,attention_variant_key_changed,attention_recovered_positive,attention_recovered_lower_than_same,boredom_low_fatigue_quiet,boredom_on_pass,boredom_block_high_nov_quiet,boredom_block_high_reward_quiet,boredom_block_high_complexity_quiet,repetition_nt_ok,boredom_nt_ok,same_penalty,variant_penalty,recovered_penalty,boredom_on_repetition_strength,boredom_on_strength,boredom_on_nov_state,high_nov_state,boredom_on_reward_state,high_reward_state,boredom_on_complexity,high_complexity_state,all_ok
F01,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.82,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F02,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.76,0.80117647,0.1,0.3,0.05,0.35,0.2,0.5,1
F03,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.7,0.74294118,0.1,0.3,0.05,0.35,0.2,0.5,1
F04,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.64,0.68470588,0.1,0.3,0.05,0.35,0.2,0.5,1
F05,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.58,0.62647059,0.1,0.3,0.05,0.35,0.2,0.5,1
F06,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.88,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F07,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,0.94,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F08,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,1.0,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F09,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,1.0,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F10,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,1.0,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F11,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,1.0,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
F12,1,1,1,1,1,1,1,1,1,1,1,1,1,0.25,0.0,0.01171875,1.0,0.84,0.1,0.3,0.05,0.35,0.2,0.5,1
