family,branch,branch_label,source_er,source_ev,enable_er_induction,root_b_weight,root_c_weight,root_memory_weight,b_d_weight,b_memory_weight,c_f_weight,c_memory_weight,energy_graph_v2_enabled,config_max_rounds,round_count,depth_max,frontier_generated_count,frontier_pruned_count,terminal_memory_count,root_reinduction_count,layer_count,layer_histogram_json,frontier_out_count_max,frontier_in_count_max,frontier_budget_ev_total,root_induction_budget_ev_total,round_delta_ev_total,round_delta_ev_last,total_delta_ev,total_ev_consumed,propagated_budget_total_ev,structure_target_count,memory_target_count,depth2_structure_target_count,layer1_memory_target_count,deeper_memory_target_count,has_AB_structure,has_AC_structure,has_ABD_structure_depth2,has_ACF_structure_depth2,has_root_terminal_memory,has_b_terminal_memory,has_c_terminal_memory,target_ids_json
F01,deep_multilayer,多轮扩散,0.3,1.0,1,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,4,4,2,14,1,11,3,2,"{""1"": 23, ""2"": 18}",4,4,2.398176,0.9131304,3.3113064,0.3267864,3.3113064,1.0,2.398176,6,4,2,2,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000002"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000003"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000001"", ""target_structure_id"": ""st_000004"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000002"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.47482781}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000003"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.25567651}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000001"", ""target_structure_id"": ""st_000004"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18262608}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000005"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.58164122}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000002"", ""target_structure_id"": ""st_000006"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.32717318}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000007"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.28382973}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000003"", ""target_structure_id"": ""st_000008"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.20553187}]"
F01,single_round_cap,单轮截断,0.3,1.0,1,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,1,1,1,2,0,2,0,1,"{""1"": 8}",2,1,1.0,0.3,1.3,1.3,1.3,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000010"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000011"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000004"", ""target_structure_id"": ""st_000012"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000010"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.156}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000011"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.084}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000004"", ""target_structure_id"": ""st_000012"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.06}]"
F01,high_frontier_threshold,前沿阈值剪枝,0.3,1.0,1,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,4,4,1,8,6,5,3,1,"{""1"": 23}",2,2,1.0,0.9131304,1.9131304,0.1654104,1.9131304,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000018"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000019"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000007"", ""target_structure_id"": ""st_000020"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000018"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.47482781}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000019"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.25567651}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000007"", ""target_structure_id"": ""st_000020"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18262608}]"
F01,high_budget_threshold,预算阈值剪枝,0.0,1.0,0,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,4,2,1,2,2,1,0,1,"{""1"": 5}",2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,1,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000026"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000027"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000010"", ""target_structure_id"": ""st_000028"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}]"
F01,width_cap_one,宽度上限,0.3,1.0,1,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,4,4,2,4,6,7,3,2,"{""1"": 18, ""2"": 5}",1,1,1.7808944,0.9131304,2.6940248,0.2703048,2.6940248,1.0,1.7808944,5,3,1,2,1,1,1,1,0,1,1,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000034"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000035"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000013"", ""target_structure_id"": ""st_000036"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000034"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.47482781}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000035"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.25567651}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000013"", ""target_structure_id"": ""st_000036"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18262608}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000037"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.49977242}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000014"", ""target_structure_id"": ""st_000038"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.28112198}]"
F01,no_er_reinduction,关闭根源ER重诱发,0.0,1.0,0,0.52,0.28,0.2,0.64,0.36,0.58,0.42,1,4,3,2,4,0,3,0,2,"{""1"": 5, ""2"": 6}",2,2,1.8,0.0,1.8,0.0,1.8,1.0,1.8,4,3,2,1,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000042"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.52}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000043"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.28}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000016"", ""target_structure_id"": ""st_000044"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000045"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.3328}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000017"", ""target_structure_id"": ""st_000046"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1872}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000047"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1624}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000018"", ""target_structure_id"": ""st_000048"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1176}]"
F02,deep_multilayer,多轮扩散,0.31,1.0,1,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,4,4,2,14,1,11,3,2,"{""1"": 23, ""2"": 18}",4,4,2.4181152,0.94356808,3.36168328,0.33767928,3.36168328,1.0,2.4181152,6,4,2,2,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000050"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000051"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000019"", ""target_structure_id"": ""st_000052"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000050"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48121972}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000051"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27363474}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000019"", ""target_structure_id"": ""st_000052"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18871362}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000053"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.56955052}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000020"", ""target_structure_id"": ""st_000054"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.33449792}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000055"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.30329939}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000021"", ""target_structure_id"": ""st_000056"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.21076737}]"
F02,single_round_cap,单轮截断,0.31,1.0,1,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,1,1,1,2,0,2,0,1,"{""1"": 8}",2,1,1.0,0.31,1.31,1.31,1.31,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000058"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000059"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000022"", ""target_structure_id"": ""st_000060"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000058"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.1581}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000059"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.0899}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000022"", ""target_structure_id"": ""st_000060"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.062}]"
F02,high_frontier_threshold,前沿阈值剪枝,0.31,1.0,1,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,4,4,1,8,6,5,3,1,"{""1"": 23}",2,2,1.0,0.94356808,1.94356808,0.17092408,1.94356808,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000066"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000067"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000025"", ""target_structure_id"": ""st_000068"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000066"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48121972}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000067"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27363474}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000025"", ""target_structure_id"": ""st_000068"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18871362}]"
F02,high_budget_threshold,预算阈值剪枝,0.0,1.0,0,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,4,2,1,2,2,1,0,1,"{""1"": 5}",2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,1,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000074"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000075"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000028"", ""target_structure_id"": ""st_000076"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}]"
