family,branch,round_index,frontier_in_count,frontier_out_count,frontier_pruned_count,frontier_memory_terminal_count,root_reinduction_count,frontier_budget_ev,root_induction_budget_ev,round_delta_ev
F01,deep_multilayer,1,1,2,0,2,0,1.0,0.3,1.3
F01,deep_multilayer,2,2,4,0,3,1,1.04,0.246,1.286
F01,deep_multilayer,3,4,4,0,3,1,0.1968,0.20172,0.39852
F01,deep_multilayer,4,4,4,1,3,1,0.161376,0.1654104,0.3267864
F01,single_round_cap,1,1,2,0,2,0,1.0,0.3,1.3
F01,high_frontier_threshold,1,1,2,0,2,0,1.0,0.3,1.3
F01,high_frontier_threshold,2,2,2,2,1,1,0.0,0.246,0.246
F01,high_frontier_threshold,3,2,2,2,1,1,0.0,0.20172,0.20172
F01,high_frontier_threshold,4,2,2,2,1,1,0.0,0.1654104,0.1654104
F01,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F01,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F01,width_cap_one,1,1,1,1,2,0,1.0,0.3,1.3
F01,width_cap_one,2,1,1,2,2,1,0.676,0.246,0.922
F01,width_cap_one,3,1,1,1,1,1,0.0,0.20172,0.20172
F01,width_cap_one,4,1,1,2,2,1,0.1048944,0.1654104,0.2703048
F01,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F01,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F01,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F02,deep_multilayer,1,1,2,0,2,0,1.0,0.31,1.31
F02,deep_multilayer,2,2,4,0,3,1,1.048,0.2542,1.3022
F02,deep_multilayer,3,4,4,0,3,1,0.20336,0.208444,0.411804
F02,deep_multilayer,4,4,4,1,3,1,0.1667552,0.17092408,0.33767928
F02,single_round_cap,1,1,2,0,2,0,1.0,0.31,1.31
F02,high_frontier_threshold,1,1,2,0,2,0,1.0,0.31,1.31
F02,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2542,0.2542
F02,high_frontier_threshold,3,2,2,2,1,1,0.0,0.208444,0.208444
F02,high_frontier_threshold,4,2,2,2,1,1,0.0,0.17092408,0.17092408
F02,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F02,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F02,width_cap_one,1,1,1,1,2,0,1.0,0.31,1.31
F02,width_cap_one,2,1,1,2,2,1,0.6681,0.2542,0.9223
F02,width_cap_one,3,1,1,1,1,1,0.0,0.208444,0.208444
F02,width_cap_one,4,1,1,2,2,1,0.10630644,0.17092408,0.27723052
F02,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F02,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F02,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F03,deep_multilayer,1,1,2,0,2,0,1.0,0.32,1.32
F03,deep_multilayer,2,2,4,0,3,1,1.056,0.2624,1.3184
F03,deep_multilayer,3,4,4,0,3,1,0.20992,0.215168,0.425088
F03,deep_multilayer,4,4,4,1,3,1,0.1721344,0.17643776,0.34857216
F03,single_round_cap,1,1,2,0,2,0,1.0,0.32,1.32
F03,high_frontier_threshold,1,1,2,0,2,0,1.0,0.32,1.32
F03,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2624,0.2624
F03,high_frontier_threshold,3,2,2,2,1,1,0.0,0.215168,0.215168
F03,high_frontier_threshold,4,2,2,2,1,1,0.0,0.17643776,0.17643776
F03,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F03,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F03,width_cap_one,1,1,1,1,2,0,1.0,0.32,1.32
F03,width_cap_one,2,1,1,2,2,1,0.66,0.2624,0.9224
F03,width_cap_one,3,1,1,1,1,1,0.0,0.215168,0.215168
F03,width_cap_one,4,1,1,2,2,1,0.107584,0.17643776,0.28402176
F03,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F03,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F03,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F04,deep_multilayer,1,1,2,0,2,0,1.0,0.33,1.33
F04,deep_multilayer,2,2,4,0,3,1,1.064,0.2706,1.3346
F04,deep_multilayer,3,4,4,0,3,1,0.21648,0.221892,0.438372
F04,deep_multilayer,4,4,4,1,3,1,0.1775136,0.18195144,0.35946504
F04,single_round_cap,1,1,2,0,2,0,1.0,0.33,1.33
F04,high_frontier_threshold,1,1,2,0,2,0,1.0,0.33,1.33
F04,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2706,0.2706
F04,high_frontier_threshold,3,2,2,2,1,1,0.0,0.221892,0.221892
F04,high_frontier_threshold,4,2,2,2,1,1,0.0,0.18195144,0.18195144
F04,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F04,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F04,width_cap_one,1,1,1,1,2,0,1.0,0.33,1.33
F04,width_cap_one,2,1,1,2,2,1,0.7049,0.2706,0.9755
F04,width_cap_one,3,1,1,1,1,1,0.0,0.221892,0.221892
F04,width_cap_one,4,1,1,2,2,1,0.11760276,0.18195144,0.2995542
F04,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F04,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F04,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F05,deep_multilayer,1,1,2,0,2,0,1.0,0.34,1.34
F05,deep_multilayer,2,2,4,0,3,1,1.072,0.2788,1.3508
F05,deep_multilayer,3,4,4,0,3,1,0.22304,0.228616,0.451656
F05,deep_multilayer,4,4,4,1,3,1,0.1828928,0.18746512,0.37035791
F05,single_round_cap,1,1,2,0,2,0,1.0,0.34,1.34
F05,high_frontier_threshold,1,1,2,0,2,0,1.0,0.34,1.34
F05,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2788,0.2788
F05,high_frontier_threshold,3,2,2,2,1,1,0.0,0.228616,0.228616
F05,high_frontier_threshold,4,2,2,2,1,1,0.0,0.18746512,0.18746511
F05,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F05,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F05,width_cap_one,1,1,1,1,2,0,1.0,0.34,1.34
F05,width_cap_one,2,1,1,2,2,1,0.7236,0.2788,1.0024
F05,width_cap_one,3,1,1,1,1,1,0.0,0.228616,0.228616
F05,width_cap_one,4,1,1,2,2,1,0.12345264,0.18746512,0.31091775
F05,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F05,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F05,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F06,deep_multilayer,1,1,2,0,2,0,1.0,0.35,1.35
F06,deep_multilayer,2,2,4,0,3,1,1.08,0.287,1.367
F06,deep_multilayer,3,4,4,0,3,1,0.2296,0.23534,0.46494
F06,deep_multilayer,4,4,4,0,3,1,0.188272,0.1929788,0.3812508
F06,single_round_cap,1,1,2,0,2,0,1.0,0.35,1.35
F06,high_frontier_threshold,1,1,2,0,2,0,1.0,0.35,1.35
F06,high_frontier_threshold,2,2,2,2,1,1,0.0,0.287,0.287
F06,high_frontier_threshold,3,2,2,2,1,1,0.0,0.23534,0.23534
F06,high_frontier_threshold,4,2,2,2,1,1,0.0,0.1929788,0.1929788
F06,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F06,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F06,width_cap_one,1,1,1,1,2,0,1.0,0.35,1.35
F06,width_cap_one,2,1,1,2,2,1,0.6615,0.287,0.9485
F06,width_cap_one,3,1,1,1,1,1,0.0,0.23534,0.23534
F06,width_cap_one,4,1,1,2,2,1,0.1153166,0.1929788,0.3082954
F06,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F06,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F06,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F07,deep_multilayer,1,1,2,0,2,0,1.0,0.36,1.36
F07,deep_multilayer,2,2,4,0,3,1,1.088,0.2952,1.3832
F07,deep_multilayer,3,4,4,0,3,1,0.23616,0.242064,0.478224
F07,deep_multilayer,4,4,4,0,3,1,0.1936512,0.19849248,0.39214368
F07,single_round_cap,1,1,2,0,2,0,1.0,0.36,1.36
F07,high_frontier_threshold,1,1,2,0,2,0,1.0,0.36,1.36
F07,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2952,0.2952
F07,high_frontier_threshold,3,2,2,2,1,1,0.0,0.242064,0.242064
F07,high_frontier_threshold,4,2,2,2,1,1,0.0,0.19849248,0.19849248
F07,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F07,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F07,width_cap_one,1,1,1,1,2,0,1.0,0.36,1.36
F07,width_cap_one,2,1,1,2,2,1,0.6528,0.2952,0.948
F07,width_cap_one,3,1,1,1,1,1,0.0,0.242064,0.242064
F07,width_cap_one,4,1,1,2,2,1,0.11619072,0.19849248,0.3146832
F07,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F07,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F07,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F08,deep_multilayer,1,1,2,0,2,0,1.0,0.37,1.37
F08,deep_multilayer,2,2,4,0,3,1,1.096,0.3034,1.3994
F08,deep_multilayer,3,4,4,0,3,1,0.24272,0.248788,0.491508
F08,deep_multilayer,4,4,4,1,3,1,0.1990304,0.20400616,0.40303656
F08,single_round_cap,1,1,2,0,2,0,1.0,0.37,1.37
F08,high_frontier_threshold,1,1,2,0,2,0,1.0,0.37,1.37
F08,high_frontier_threshold,2,2,2,2,1,1,0.0,0.3034,0.3034
