family,branch,target_index,projection_kind,memory_id,target_structure_id,target_display_text,delta_ev,runtime_weight,modes,energy_graph_round_first,energy_graph_round_last,energy_graph_depth_min,energy_graph_depth_max,energy_graph_emit_count,frontier_source_kinds
F01,deep_multilayer,0,structure,,st_000002,{A + B},0.52,5.2,ev_propagation,1,1,1,1,1,root_ev
F01,deep_multilayer,1,structure,,st_000003,{A + C},0.28,2.8,ev_propagation,1,1,1,1,1,root_ev
F01,deep_multilayer,2,memory,em_000001,st_000004,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F01,deep_multilayer,3,structure,,st_000002,{A + B},0.47482781,5.2,er_induction,1,4,1,1,4,root_er
F01,deep_multilayer,4,structure,,st_000003,{A + C},0.25567651,2.8,er_induction,1,4,1,1,4,root_er
F01,deep_multilayer,5,memory,em_000001,st_000004,{A + M},0.18262608,2.0,er_induction,1,4,1,1,4,root_er
F01,deep_multilayer,6,structure,,st_000005,{A + B + D},0.58164122,6.4,ev_propagation,2,4,2,2,3,frontier_ev
F01,deep_multilayer,7,memory,em_000002,st_000006,{A + B + E},0.32717318,3.6,ev_propagation,2,4,2,2,3,frontier_ev
F01,deep_multilayer,8,structure,,st_000007,{A + C + F},0.28382973,5.8,ev_propagation,2,4,2,2,3,frontier_ev
F01,deep_multilayer,9,memory,em_000003,st_000008,{A + C + G},0.20553187,4.2,ev_propagation,2,4,2,2,3,frontier_ev
F01,single_round_cap,0,structure,,st_000010,{A + B},0.52,5.2,ev_propagation,1,1,1,1,1,root_ev
F01,single_round_cap,1,structure,,st_000011,{A + C},0.28,2.8,ev_propagation,1,1,1,1,1,root_ev
F01,single_round_cap,2,memory,em_000004,st_000012,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F01,single_round_cap,3,structure,,st_000010,{A + B},0.156,5.2,er_induction,1,1,1,1,1,root_er
F01,single_round_cap,4,structure,,st_000011,{A + C},0.084,2.8,er_induction,1,1,1,1,1,root_er
F01,single_round_cap,5,memory,em_000004,st_000012,{A + M},0.06,2.0,er_induction,1,1,1,1,1,root_er
F01,high_frontier_threshold,0,structure,,st_000018,{A + B},0.52,5.2,ev_propagation,1,1,1,1,1,root_ev
F01,high_frontier_threshold,1,structure,,st_000019,{A + C},0.28,2.8,ev_propagation,1,1,1,1,1,root_ev
F01,high_frontier_threshold,2,memory,em_000007,st_000020,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F01,high_frontier_threshold,3,structure,,st_000018,{A + B},0.47482781,5.2,er_induction,1,4,1,1,4,root_er
F01,high_frontier_threshold,4,structure,,st_000019,{A + C},0.25567651,2.8,er_induction,1,4,1,1,4,root_er
F01,high_frontier_threshold,5,memory,em_000007,st_000020,{A + M},0.18262608,2.0,er_induction,1,4,1,1,4,root_er
F01,high_budget_threshold,0,structure,,st_000026,{A + B},0.52,5.2,ev_propagation,1,1,1,1,1,root_ev
F01,high_budget_threshold,1,structure,,st_000027,{A + C},0.28,2.8,ev_propagation,1,1,1,1,1,root_ev
F01,high_budget_threshold,2,memory,em_000010,st_000028,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F01,width_cap_one,0,structure,,st_000034,{A + B},0.52,5.2,ev_propagation,1,1,1,1,1,root_ev
F01,width_cap_one,1,structure,,st_000035,{A + C},0.28,2.8,ev_propagation,1,1,1,1,1,root_ev
F01,width_cap_one,2,memory,em_000013,st_000036,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F01,width_cap_one,3,structure,,st_000034,{A + B},0.47482781,5.2,er_induction,1,4,1,1,4,root_er
F01,width_cap_one,4,structure,,st_000035,{A + C},0.25567651,2.8,er_induction,1,4,1,1,4,root_er
F01,width_cap_one,5,memory,em_000013,st_000036,{A + M},0.18262608,2.0,er_induction,1,4,1,1,4,root_er
F01,width_cap_one,6,structure,,st_000037,{A + B + D},0.49977242,6.4,ev_propagation,2,4,2,2,2,frontier_ev
F01,width_cap_one,7,memory,em_000014,st_000038,{A + B + E},0.28112198,3.6,ev_propagation,2,4,2,2,2,frontier_ev
