family,branch,branch_label,memory_apply_count,memory_apply_total_delta_ev,memory_snapshot_count,memory_snapshot_total_ev,shared_memory_present,split_memory_a_present,split_memory_b_present,shared_memory_ev,shared_memory_er,shared_memory_hit_count,shared_memory_update_count,shared_mode_ev_propagation,shared_mode_er_induction,shared_mode_ev_only_ev,shared_mode_er_only_ev,shared_source_count,shared_backing_count,process_target_count,process_has_AB,process_has_AC,process_has_continuable,memory_target_count,memory_targets_unique_memory_count,decay_before_ev,decay_after_ev,decay_ratio_observed
F01,memory_converge,同记忆汇聚,1,0.59402672,1,0.59402672,1,0,0,0.59402672,0.0,3,1,0.5372,0.05682672,0.5372,0.05682672,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F01,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F01,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F01,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F02,memory_converge,同记忆汇聚,1,0.60283234,1,0.60283234,1,0,0,0.60283234,0.0,3,1,0.53965,0.06318234,0.53965,0.06318234,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F02,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F02,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F02,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F03,memory_converge,同记忆汇聚,1,0.6117872,1,0.6117872,1,0,0,0.6117872,0.0,3,1,0.542,0.0697872,0.542,0.0697872,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F03,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F03,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F03,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F04,memory_converge,同记忆汇聚,1,0.6164141,1,0.6164141,1,0,0,0.6164141,0.0,3,1,0.54725,0.0691641,0.54725,0.0691641,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F04,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F04,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F04,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F05,memory_converge,同记忆汇聚,1,0.62298112,1,0.62298112,1,0,0,0.62298112,0.0,3,1,0.5512,0.07178112,0.5512,0.07178112,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F05,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F05,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F05,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F06,memory_converge,同记忆汇聚,1,0.63701014,1,0.63701014,1,0,0,0.63701014,0.0,3,1,0.55015,0.08686014,0.55015,0.08686014,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F06,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F06,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F06,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F07,memory_converge,同记忆汇聚,1,0.64641272,1,0.64641272,1,0,0,0.64641272,0.0,3,1,0.5522,0.09421272,0.5522,0.09421272,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F07,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F07,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F07,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F08,memory_converge,同记忆汇聚,1,0.6952573,1,0.6952573,1,0,0,0.6952573,0.0,3,1,0.612385,0.0828723,0.612385,0.0828723,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F08,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F08,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F08,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F09,memory_converge,同记忆汇聚,1,0.6641732,1,0.6641732,1,0,0,0.6641732,0.0,3,1,0.557,0.1071732,0.557,0.1071732,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F09,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F09,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F09,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F10,memory_converge,同记忆汇聚,1,0.71510468,1,0.71510468,1,0,0,0.71510468,0.0,3,1,0.626126,0.08897868,0.626126,0.08897868,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F10,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F10,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F10,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F11,memory_converge,同记忆汇聚,1,0.73274416,1,0.73274416,1,0,0,0.73274416,0.0,3,1,0.612112,0.12063216,0.612112,0.12063216,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F11,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F11,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F11,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
F12,memory_converge,同记忆汇聚,1,0.73481758,1,0.73481758,1,0,0,0.73481758,0.0,3,1,0.640231,0.09458658,0.640231,0.09458658,4,2,3,1,1,1,3,1,0.0,0.0,0.0
F12,structure_process_only,仅结构过程态,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,2,1,1,1,0,0,0.0,0.0,0.0
F12,split_memory_control,不同记忆不合并,2,1.0,2,1.0,0,1,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0
F12,memory_decay,记忆激活衰减,1,1.0,1,0.5,1,0,0,0.5,0.0,1,1,1.0,0.0,1.0,0.0,2,1,0,0,0,0,1,1,1.0,0.5,0.5
