family,memory_converge_pass,structure_process_pass,split_memory_control_pass,memory_decay_pass,converge_shared_ev,converge_hit_count,converge_source_count,process_target_count,split_memory_count,decay_ratio_observed,all_ok
F01,1,1,1,1,0.59402672,3,4,2,2,0.5,1
F02,1,1,1,1,0.60283234,3,4,2,2,0.5,1
F03,1,1,1,1,0.6117872,3,4,2,2,0.5,1
F04,1,1,1,1,0.6164141,3,4,2,2,0.5,1
F05,1,1,1,1,0.62298112,3,4,2,2,0.5,1
F06,1,1,1,1,0.63701014,3,4,2,2,0.5,1
F07,1,1,1,1,0.64641272,3,4,2,2,0.5,1
F08,1,1,1,1,0.6952573,3,4,2,2,0.5,1
F09,1,1,1,1,0.6641732,3,4,2,2,0.5,1
F10,1,1,1,1,0.71510468,3,4,2,2,0.5,1
F11,1,1,1,1,0.73274416,3,4,2,2,0.5,1
F12,1,1,1,1,0.73481758,3,4,2,2,0.5,1
