family,branch,target_index,projection_kind,memory_id,target_structure_id,delta_ev,delta_er,modes,sources,backing_structure_id
F01,memory_converge,0,memory,em_000001,st_000005,0.2472,0.0,ev_propagation,st_000001|st_000003,st_000005
F01,memory_converge,1,memory,em_000001,st_000005,0.05682672,0.0,er_induction,st_000001,st_000005
F01,memory_converge,2,memory,em_000001,st_000006,0.29,0.0,ev_propagation,st_000002|st_000004,st_000006
F01,memory_converge,3,structure,,st_000003,0.1302,0.0,ev_propagation,st_000001,st_000003
F01,memory_converge,4,structure,,st_000003,0.09271728,0.0,er_induction,st_000001,st_000003
F01,memory_converge,5,structure,,st_000004,0.1102,0.0,ev_propagation,st_000002,st_000004
F01,structure_process_only,0,structure,,st_000011,0.124,0.0,ev_propagation,st_000009,st_000011
F01,structure_process_only,1,structure,,st_000012,0.076,0.0,ev_propagation,st_000010,st_000012
F01,split_memory_control,0,memory,em_000008,,0.42,0.0,ev_propagation,st_000017,st_000023
F01,split_memory_control,1,memory,em_000009,,0.58,0.0,er_induction,st_000018,st_000024
F01,memory_decay,0,memory,em_000010,,1.0,0.0,ev_propagation,st_000025|st_000026,st_000029
F02,memory_converge,0,memory,em_000013,st_000037,0.25465,0.0,ev_propagation,st_000033|st_000035,st_000037
F02,memory_converge,1,memory,em_000013,st_000037,0.06318234,0.0,er_induction,st_000033,st_000037
F02,memory_converge,2,memory,em_000013,st_000038,0.285,0.0,ev_propagation,st_000034|st_000036,st_000038
F02,memory_converge,3,structure,,st_000035,0.13115,0.0,ev_propagation,st_000033,st_000035
F02,memory_converge,4,structure,,st_000035,0.09882366,0.0,er_induction,st_000033,st_000035
F02,memory_converge,5,structure,,st_000036,0.11115,0.0,ev_propagation,st_000034,st_000036
F02,structure_process_only,0,structure,,st_000043,0.12505,0.0,ev_propagation,st_000041,st_000043
F02,structure_process_only,1,structure,,st_000044,0.07995,0.0,ev_propagation,st_000042,st_000044
F02,split_memory_control,0,memory,em_000020,,0.43,0.0,ev_propagation,st_000049,st_000055
F02,split_memory_control,1,memory,em_000021,,0.57,0.0,er_induction,st_000050,st_000056
F02,memory_decay,0,memory,em_000022,,1.0,0.0,ev_propagation,st_000057|st_000058,st_000061
F03,memory_converge,0,memory,em_000025,st_000069,0.262,0.0,ev_propagation,st_000065|st_000067,st_000069
F03,memory_converge,1,memory,em_000025,st_000069,0.0697872,0.0,er_induction,st_000065,st_000069
F03,memory_converge,2,memory,em_000025,st_000070,0.28,0.0,ev_propagation,st_000066|st_000068,st_000070
F03,memory_converge,3,structure,,st_000067,0.132,0.0,ev_propagation,st_000065,st_000067
F03,memory_converge,4,structure,,st_000067,0.1046808,0.0,er_induction,st_000065,st_000067
F03,memory_converge,5,structure,,st_000068,0.112,0.0,ev_propagation,st_000066,st_000068
F03,structure_process_only,0,structure,,st_000075,0.126,0.0,ev_propagation,st_000073,st_000075
F03,structure_process_only,1,structure,,st_000076,0.084,0.0,ev_propagation,st_000074,st_000076
F03,split_memory_control,0,memory,em_000032,,0.44,0.0,ev_propagation,st_000081,st_000087
F03,split_memory_control,1,memory,em_000033,,0.56,0.0,er_induction,st_000082,st_000088
F03,memory_decay,0,memory,em_000034,,1.0,0.0,ev_propagation,st_000089|st_000090,st_000093
F04,memory_converge,0,memory,em_000037,st_000101,0.27225,0.0,ev_propagation,st_000097|st_000099,st_000101
F04,memory_converge,1,memory,em_000037,st_000101,0.0691641,0.0,er_induction,st_000097,st_000101
F04,memory_converge,2,memory,em_000037,st_000102,0.275,0.0,ev_propagation,st_000098|st_000100,st_000102
F04,memory_converge,3,structure,,st_000099,0.14175,0.0,ev_propagation,st_000097,st_000099
F04,memory_converge,4,structure,,st_000099,0.1177659,0.0,er_induction,st_000097,st_000099
F04,memory_converge,5,structure,,st_000100,0.10175,0.0,ev_propagation,st_000098,st_000100
F04,structure_process_only,0,structure,,st_000107,0.13545,0.0,ev_propagation,st_000105,st_000107
F04,structure_process_only,1,structure,,st_000108,0.07955,0.0,ev_propagation,st_000106,st_000108
F04,split_memory_control,0,memory,em_000044,,0.45,0.0,ev_propagation,st_000113,st_000119
F04,split_memory_control,1,memory,em_000045,,0.55,0.0,er_induction,st_000114,st_000120
F04,memory_decay,0,memory,em_000046,,1.0,0.0,ev_propagation,st_000121|st_000122,st_000125
F05,memory_converge,0,memory,em_000049,st_000133,0.2812,0.0,ev_propagation,st_000129|st_000131,st_000133
F05,memory_converge,1,memory,em_000049,st_000133,0.07178112,0.0,er_induction,st_000129,st_000133
F05,memory_converge,2,memory,em_000049,st_000134,0.27,0.0,ev_propagation,st_000130|st_000132,st_000134
F05,memory_converge,3,structure,,st_000131,0.1472,0.0,ev_propagation,st_000129,st_000131
F05,memory_converge,4,structure,,st_000131,0.12761088,0.0,er_induction,st_000129,st_000131
F05,memory_converge,5,structure,,st_000132,0.0972,0.0,ev_propagation,st_000130,st_000132
F05,structure_process_only,0,structure,,st_000139,0.1408,0.0,ev_propagation,st_000137,st_000139
F05,structure_process_only,1,structure,,st_000140,0.0792,0.0,ev_propagation,st_000138,st_000140
F05,split_memory_control,0,memory,em_000056,,0.46,0.0,ev_propagation,st_000145,st_000151
F05,split_memory_control,1,memory,em_000057,,0.54,0.0,er_induction,st_000146,st_000152
F05,memory_decay,0,memory,em_000058,,1.0,0.0,ev_propagation,st_000153|st_000154,st_000157
F06,memory_converge,0,memory,em_000061,st_000165,0.28515,0.0,ev_propagation,st_000161|st_000163,st_000165
F06,memory_converge,1,memory,em_000061,st_000165,0.08686014,0.0,er_induction,st_000161,st_000165
F06,memory_converge,2,memory,em_000061,st_000166,0.265,0.0,ev_propagation,st_000162|st_000164,st_000166
F06,memory_converge,3,structure,,st_000163,0.13865,0.0,ev_propagation,st_000161,st_000163
F06,memory_converge,4,structure,,st_000163,0.12499386,0.0,er_induction,st_000161,st_000163
F06,memory_converge,5,structure,,st_000164,0.10865,0.0,ev_propagation,st_000162,st_000164
F06,structure_process_only,0,structure,,st_000171,0.13275,0.0,ev_propagation,st_000169,st_000171
F06,structure_process_only,1,structure,,st_000172,0.09225,0.0,ev_propagation,st_000170,st_000172
F06,split_memory_control,0,memory,em_000068,,0.47,0.0,ev_propagation,st_000177,st_000183
F06,split_memory_control,1,memory,em_000069,,0.53,0.0,er_induction,st_000178,st_000184
F06,memory_decay,0,memory,em_000070,,1.0,0.0,ev_propagation,st_000185|st_000186,st_000189
F07,memory_converge,0,memory,em_000073,st_000197,0.2922,0.0,ev_propagation,st_000193|st_000195,st_000197
F07,memory_converge,1,memory,em_000073,st_000197,0.09421272,0.0,er_induction,st_000193,st_000197
F07,memory_converge,2,memory,em_000073,st_000198,0.26,0.0,ev_propagation,st_000194|st_000196,st_000198
F07,memory_converge,3,structure,,st_000195,0.1392,0.0,ev_propagation,st_000193,st_000195
F07,memory_converge,4,structure,,st_000195,0.13010328,0.0,er_induction,st_000193,st_000195
F07,memory_converge,5,structure,,st_000196,0.1092,0.0,ev_propagation,st_000194,st_000196
F07,structure_process_only,0,structure,,st_000203,0.1334,0.0,ev_propagation,st_000201,st_000203
F07,structure_process_only,1,structure,,st_000204,0.0966,0.0,ev_propagation,st_000202,st_000204
F07,split_memory_control,0,memory,em_000080,,0.48,0.0,ev_propagation,st_000209,st_000215
F07,split_memory_control,1,memory,em_000081,,0.52,0.0,er_induction,st_000210,st_000216
F07,memory_decay,0,memory,em_000082,,1.0,0.0,ev_propagation,st_000217|st_000218,st_000221
F08,memory_converge,0,memory,em_000085,st_000229,0.357385,0.0,ev_propagation,st_000225|st_000227,st_000229
F08,memory_converge,1,memory,em_000085,st_000229,0.0828723,0.0,er_induction,st_000225,st_000229
F08,memory_converge,2,memory,em_000085,st_000230,0.255,0.0,ev_propagation,st_000226|st_000228,st_000230
F08,memory_converge,3,structure,,st_000227,0.15925,0.0,ev_propagation,st_000225,st_000227
F08,memory_converge,4,structure,,st_000227,0.1539057,0.0,er_induction,st_000225,st_000227
F08,memory_converge,5,structure,,st_000228,0.08925,0.0,ev_propagation,st_000226,st_000228
F08,structure_process_only,0,structure,,st_000235,0.15275,0.0,ev_propagation,st_000233,st_000235
F08,structure_process_only,1,structure,,st_000236,0.08225,0.0,ev_propagation,st_000234,st_000236
F08,split_memory_control,0,memory,em_000092,,0.49,0.0,ev_propagation,st_000241,st_000247
F08,split_memory_control,1,memory,em_000093,,0.51,0.0,er_induction,st_000242,st_000248
F08,memory_decay,0,memory,em_000094,,1.0,0.0,ev_propagation,st_000249|st_000250,st_000253
F09,memory_converge,0,memory,em_000097,st_000261,0.307,0.0,ev_propagation,st_000257|st_000259,st_000261
F09,memory_converge,1,memory,em_000097,st_000261,0.1071732,0.0,er_induction,st_000257,st_000261
F09,memory_converge,2,memory,em_000097,st_000262,0.25,0.0,ev_propagation,st_000258|st_000260,st_000262
F09,memory_converge,3,structure,,st_000259,0.1425,0.0,ev_propagation,st_000257,st_000259
F09,memory_converge,4,structure,,st_000259,0.1420668,0.0,er_induction,st_000257,st_000259
F09,memory_converge,5,structure,,st_000260,0.1075,0.0,ev_propagation,st_000258,st_000260
F09,structure_process_only,0,structure,,st_000267,0.1368,0.0,ev_propagation,st_000265,st_000267
F09,structure_process_only,1,structure,,st_000268,0.1032,0.0,ev_propagation,st_000266,st_000268
F09,split_memory_control,0,memory,em_000104,,0.5,0.0,ev_propagation,st_000273,st_000279
F09,split_memory_control,1,memory,em_000105,,0.5,0.0,er_induction,st_000274,st_000280
F09,memory_decay,0,memory,em_000106,,1.0,0.0,ev_propagation,st_000281|st_000282,st_000285
F10,memory_converge,0,memory,em_000109,st_000293,0.381126,0.0,ev_propagation,st_000289|st_000291,st_000293
F10,memory_converge,1,memory,em_000109,st_000293,0.08897868,0.0,er_induction,st_000289,st_000293
F10,memory_converge,2,memory,em_000109,st_000294,0.245,0.0,ev_propagation,st_000290|st_000292,st_000294
F10,memory_converge,3,structure,,st_000291,0.1683,0.0,ev_propagation,st_000289,st_000291
F10,memory_converge,4,structure,,st_000291,0.17272332,0.0,er_induction,st_000289,st_000291
F10,memory_converge,5,structure,,st_000292,0.0833,0.0,ev_propagation,st_000290,st_000292
F10,structure_process_only,0,structure,,st_000299,0.1617,0.0,ev_propagation,st_000297,st_000299
F10,structure_process_only,1,structure,,st_000300,0.0833,0.0,ev_propagation,st_000298,st_000300
F10,split_memory_control,0,memory,em_000116,,0.51,0.0,ev_propagation,st_000305,st_000311
F10,split_memory_control,1,memory,em_000117,,0.49,0.0,er_induction,st_000306,st_000312
F10,memory_decay,0,memory,em_000118,,1.0,0.0,ev_propagation,st_000313|st_000314,st_000317
F11,memory_converge,0,memory,em_000121,st_000325,0.372112,0.0,ev_propagation,st_000321|st_000323,st_000325
F11,memory_converge,1,memory,em_000121,st_000325,0.12063216,0.0,er_induction,st_000321,st_000325
F11,memory_converge,2,memory,em_000121,st_000326,0.24,0.0,ev_propagation,st_000322|st_000324,st_000326
F11,memory_converge,3,structure,,st_000323,0.1456,0.0,ev_propagation,st_000321,st_000323
F11,memory_converge,4,structure,,st_000323,0.15353184,0.0,er_induction,st_000321,st_000323
F11,memory_converge,5,structure,,st_000324,0.1056,0.0,ev_propagation,st_000322,st_000324
F11,structure_process_only,0,structure,,st_000331,0.14,0.0,ev_propagation,st_000329,st_000331
F11,structure_process_only,1,structure,,st_000332,0.11,0.0,ev_propagation,st_000330,st_000332
F11,split_memory_control,0,memory,em_000128,,0.52,0.0,ev_propagation,st_000337,st_000343
F11,split_memory_control,1,memory,em_000129,,0.48,0.0,er_induction,st_000338,st_000344
F11,memory_decay,0,memory,em_000130,,1.0,0.0,ev_propagation,st_000345|st_000346,st_000349
F12,memory_converge,0,memory,em_000133,st_000357,0.405231,0.0,ev_propagation,st_000353|st_000355,st_000357
F12,memory_converge,1,memory,em_000133,st_000357,0.09458658,0.0,er_induction,st_000353,st_000357
F12,memory_converge,2,memory,em_000133,st_000358,0.235,0.0,ev_propagation,st_000354|st_000356,st_000358
F12,memory_converge,3,structure,,st_000355,0.17755,0.0,ev_propagation,st_000353,st_000355
F12,memory_converge,4,structure,,st_000355,0.19203942,0.0,er_induction,st_000353,st_000355
F12,memory_converge,5,structure,,st_000356,0.07755,0.0,ev_propagation,st_000354,st_000356
