family,project,all_ok,mean_ap_field_score,mean_summary_field_score,mean_rag_field_score,mean_ap_advantage_vs_summary,mean_ap_advantage_vs_rag,direct_memory_handoff_ok,paraphrase_state_handoff_ok,conflict_energy_selection_ok,action_feedback_handoff_ok
F01,蓝石计划,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F02,琥珀备忘,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F03,星港资料,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F04,银杏任务,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F05,青灯偏好,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F06,雾桥实验,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F07,松针档案,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F08,白塔清单,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F09,澄海约定,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F10,赤松流程,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F11,月井偏好,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
F12,竹影路线,1,7.75,0.75,1.25,7.0,6.5,1,1,1,1
