family,baseline_threshold,baseline_first_execution_tick,reward_threshold,reward_first_execution_tick,expectation_threshold,pressure_threshold,pressure_first_execution_tick,pressure_nt_threshold,local_base_drive,local_reward_drive,local_punish_drive,local_reward_first_execution_tick,local_punish_first_execution_tick,reward_threshold_pass,expectation_nt_pass,pressure_threshold_pass,pressure_nt_pass,fixed_reward_pass,fixed_pressure_pass,local_reward_pass,local_punish_pass,local_disabled_pass,all_ok
F01,0.9704,4,0.71187582,3,0.93711659,1.29821542,5,1.01518253,0.31,0.41881,0.16678,3,6,1,1,1,1,1,1,1,1,1,1
F02,0.9704,4,0.70880255,3,0.9367368,1.30228098,5,1.01566135,0.311,0.4215605,0.1656075,3,7,1,1,1,1,1,1,1,1,1,1
F03,0.9704,4,0.70573469,3,0.93635762,1.30634746,5,1.01613835,0.312,0.42432,0.164424,3,7,1,1,1,1,1,1,1,1,1,1
F04,0.9704,4,0.70267223,3,0.93597904,1.31041486,5,1.01661354,0.313,0.4270885,0.1632295,3,7,1,1,1,1,1,1,1,1,1,1
F05,0.9704,4,0.69961515,3,0.93560105,1.31448315,5,1.01708693,0.314,0.429866,0.162024,3,7,1,1,1,1,1,1,1,1,1,1
F06,0.9704,4,0.69656342,3,0.93522366,1.31855233,5,1.01755852,0.315,0.4326525,0.1608075,3,7,1,1,1,1,1,1,1,1,1,1
F07,0.9704,4,0.69351701,3,0.93484687,1.32262239,5,1.01802832,0.316,0.435448,0.15958,3,7,1,1,1,1,1,1,1,1,1,1
F08,0.9704,4,0.69047592,3,0.93447068,1.32669333,5,1.01849633,0.317,0.4382525,0.1583415,3,7,1,1,1,1,1,1,1,1,1,1
F09,0.9704,4,0.6874401,3,0.93409508,1.33076512,5,1.01896257,0.31,0.42997,0.15314,3,7,1,1,1,1,1,1,1,1,1,1
F10,0.9704,4,0.68440954,3,0.93372007,1.33483775,5,1.01942703,0.311,0.4327565,0.1519235,3,7,1,1,1,1,1,1,1,1,1,1
F11,0.9704,4,0.68138423,3,0.93334566,1.33891123,5,1.01988972,0.312,0.435552,0.150696,3,7,1,1,1,1,1,1,1,1,1,1
F12,0.9704,4,0.67836412,3,0.93297183,1.34298553,5,1.02035066,0.313,0.4383565,0.1494575,3,7,1,1,1,1,1,1,1,1,1,1
