family,branch,tick,drive,effective_threshold,threshold_scale,local_gain_after,local_scale_clamped,executed
F01,baseline,1,0.31,0.9704,0.9704,0.31,1.0,0
F01,baseline,2,0.62,0.9704,0.9704,0.31,1.0,0
F01,baseline,3,0.93,0.9704,0.9704,0.31,1.0,0
F01,baseline,4,0.2696,0.9704,0.9704,0.31,1.0,1
F01,baseline,5,0.5796,0.9704,0.9704,0.31,1.0,0
F01,baseline,6,0.8896,0.9704,0.9704,0.31,1.0,0
F01,baseline,7,0.2292,0.9704,0.9704,0.31,1.0,1
F01,baseline,8,0.5392,0.9704,0.9704,0.31,1.0,0
F01,reward_cfs_rwd,1,0.31,0.71187582,0.71187582,0.31,1.0,0
F01,reward_cfs_rwd,2,0.62,0.71187582,0.71187582,0.31,1.0,0
F01,reward_cfs_rwd,3,0.21812418,0.71187582,0.71187582,0.31,1.0,1
F01,reward_cfs_rwd,4,0.52812418,0.71187582,0.71187582,0.31,1.0,0
F01,reward_cfs_rwd,5,0.12624835,0.71187582,0.71187582,0.31,1.0,1
F01,reward_cfs_rwd,6,0.43624835,0.71187582,0.71187582,0.31,1.0,0
F01,reward_cfs_rwd,7,0.03437253,0.71187582,0.71187582,0.31,1.0,1
F01,reward_cfs_rwd,8,0.34437253,0.71187582,0.71187582,0.31,1.0,0
F01,expectation_nt_only,1,0.31,0.93711659,0.93711659,0.31,1.0,0
F01,expectation_nt_only,2,0.62,0.93711659,0.93711659,0.31,1.0,0
F01,expectation_nt_only,3,0.93,0.93711659,0.93711659,0.31,1.0,0
F01,expectation_nt_only,4,0.30288341,0.93711659,0.93711659,0.31,1.0,1
F01,expectation_nt_only,5,0.61288341,0.93711659,0.93711659,0.31,1.0,0
F01,expectation_nt_only,6,0.92288341,0.93711659,0.93711659,0.31,1.0,0
F01,expectation_nt_only,7,0.29576683,0.93711659,0.93711659,0.31,1.0,1
F01,expectation_nt_only,8,0.60576683,0.93711659,0.93711659,0.31,1.0,0
F01,pressure_cfs_pun,1,0.31,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,2,0.62,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,3,0.93,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,4,1.24,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,5,0.25178458,1.29821542,1.29821542,0.31,1.0,1
F01,pressure_cfs_pun,6,0.56178458,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,7,0.87178458,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_cfs_pun,8,1.18178458,1.29821542,1.29821542,0.31,1.0,0
F01,pressure_nt_only,1,0.31,1.01518253,1.01518253,0.31,1.0,0
F01,pressure_nt_only,2,0.62,1.01518253,1.01518253,0.31,1.0,0
F01,pressure_nt_only,3,0.93,1.01518253,1.01518253,0.31,1.0,0
F01,pressure_nt_only,4,0.22481747,1.01518253,1.01518253,0.31,1.0,1
F01,pressure_nt_only,5,0.53481747,1.01518253,1.01518253,0.31,1.0,0
F01,pressure_nt_only,6,0.84481747,1.01518253,1.01518253,0.31,1.0,0
F01,pressure_nt_only,7,0.13963495,1.01518253,1.01518253,0.31,1.0,1
F01,pressure_nt_only,8,0.44963495,1.01518253,1.01518253,0.31,1.0,0
F01,fixed_reward_control,1,0.31,1.0,1.0,0.31,1.0,0
F01,fixed_reward_control,2,0.62,1.0,1.0,0.31,1.0,0
F01,fixed_reward_control,3,0.93,1.0,1.0,0.31,1.0,0
F01,fixed_reward_control,4,0.24,1.0,1.0,0.31,1.0,1
F01,fixed_reward_control,5,0.55,1.0,1.0,0.31,1.0,0
F01,fixed_reward_control,6,0.86,1.0,1.0,0.31,1.0,0
F01,fixed_reward_control,7,0.17,1.0,1.0,0.31,1.0,1
F01,fixed_reward_control,8,0.48,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,1,0.31,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,2,0.62,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,3,0.93,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,4,0.24,1.0,1.0,0.31,1.0,1
F01,fixed_pressure_control,5,0.55,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,6,0.86,1.0,1.0,0.31,1.0,0
F01,fixed_pressure_control,7,0.17,1.0,1.0,0.31,1.0,1
F01,fixed_pressure_control,8,0.48,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,1,0.31,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,2,0.62,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,3,0.93,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,4,0.24,1.0,1.0,0.31,1.0,1
F01,local_baseline_fixed,5,0.55,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,6,0.86,1.0,1.0,0.31,1.0,0
F01,local_baseline_fixed,7,0.17,1.0,1.0,0.31,1.0,1
F01,local_baseline_fixed,8,0.48,1.0,1.0,0.31,1.0,0
F01,local_reward_drive,1,0.41881,1.0,1.0,0.41881,1.351,0
F01,local_reward_drive,2,0.83762,1.0,1.0,0.41881,1.351,0
F01,local_reward_drive,3,0.25643,1.0,1.0,0.41881,1.351,1
F01,local_reward_drive,4,0.67524,1.0,1.0,0.41881,1.351,0
F01,local_reward_drive,5,0.09405,1.0,1.0,0.41881,1.351,1
F01,local_reward_drive,6,0.51286,1.0,1.0,0.41881,1.351,0
F01,local_reward_drive,7,0.93167,1.0,1.0,0.41881,1.351,0
F01,local_reward_drive,8,0.35048,1.0,1.0,0.41881,1.351,1
F01,local_punish_drive,1,0.16678,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,2,0.33356,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,3,0.50034,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,4,0.66712,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,5,0.8339,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,6,0.00068,1.0,1.0,0.16678,0.538,1
F01,local_punish_drive,7,0.16746,1.0,1.0,0.16678,0.538,0
F01,local_punish_drive,8,0.33424,1.0,1.0,0.16678,0.538,0
F01,local_reward_disabled_control,1,0.31,1.0,1.0,0.31,1.0,0
F01,local_reward_disabled_control,2,0.62,1.0,1.0,0.31,1.0,0
F01,local_reward_disabled_control,3,0.93,1.0,1.0,0.31,1.0,0
F01,local_reward_disabled_control,4,0.24,1.0,1.0,0.31,1.0,1
F01,local_reward_disabled_control,5,0.55,1.0,1.0,0.31,1.0,0
F01,local_reward_disabled_control,6,0.86,1.0,1.0,0.31,1.0,0
F01,local_reward_disabled_control,7,0.17,1.0,1.0,0.31,1.0,1
F01,local_reward_disabled_control,8,0.48,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,1,0.31,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,2,0.62,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,3,0.93,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,4,0.24,1.0,1.0,0.31,1.0,1
F01,local_punish_disabled_control,5,0.55,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,6,0.86,1.0,1.0,0.31,1.0,0
F01,local_punish_disabled_control,7,0.17,1.0,1.0,0.31,1.0,1
F01,local_punish_disabled_control,8,0.48,1.0,1.0,0.31,1.0,0
F02,baseline,1,0.311,0.9704,0.9704,0.311,1.0,0
F02,baseline,2,0.622,0.9704,0.9704,0.311,1.0,0
F02,baseline,3,0.933,0.9704,0.9704,0.311,1.0,0
F02,baseline,4,0.2736,0.9704,0.9704,0.311,1.0,1
F02,baseline,5,0.5846,0.9704,0.9704,0.311,1.0,0
F02,baseline,6,0.8956,0.9704,0.9704,0.311,1.0,0
F02,baseline,7,0.2362,0.9704,0.9704,0.311,1.0,1
F02,baseline,8,0.5472,0.9704,0.9704,0.311,1.0,0
F02,reward_cfs_rwd,1,0.311,0.70880255,0.70880255,0.311,1.0,0
F02,reward_cfs_rwd,2,0.622,0.70880255,0.70880255,0.311,1.0,0
F02,reward_cfs_rwd,3,0.22419745,0.70880255,0.70880255,0.311,1.0,1
F02,reward_cfs_rwd,4,0.53519745,0.70880255,0.70880255,0.311,1.0,0
F02,reward_cfs_rwd,5,0.13739491,0.70880255,0.70880255,0.311,1.0,1
F02,reward_cfs_rwd,6,0.44839491,0.70880255,0.70880255,0.311,1.0,0
F02,reward_cfs_rwd,7,0.05059236,0.70880255,0.70880255,0.311,1.0,1
F02,reward_cfs_rwd,8,0.36159236,0.70880255,0.70880255,0.311,1.0,0
F02,expectation_nt_only,1,0.311,0.9367368,0.9367368,0.311,1.0,0
F02,expectation_nt_only,2,0.622,0.9367368,0.9367368,0.311,1.0,0
F02,expectation_nt_only,3,0.933,0.9367368,0.9367368,0.311,1.0,0
F02,expectation_nt_only,4,0.3072632,0.9367368,0.9367368,0.311,1.0,1
F02,expectation_nt_only,5,0.6182632,0.9367368,0.9367368,0.311,1.0,0
F02,expectation_nt_only,6,0.9292632,0.9367368,0.9367368,0.311,1.0,0
F02,expectation_nt_only,7,0.30352639,0.9367368,0.9367368,0.311,1.0,1
F02,expectation_nt_only,8,0.61452639,0.9367368,0.9367368,0.311,1.0,0
F02,pressure_cfs_pun,1,0.311,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,2,0.622,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,3,0.933,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,4,1.244,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,5,0.25271902,1.30228098,1.30228098,0.311,1.0,1
F02,pressure_cfs_pun,6,0.56371902,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,7,0.87471902,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_cfs_pun,8,1.18571902,1.30228098,1.30228098,0.311,1.0,0
F02,pressure_nt_only,1,0.311,1.01566135,1.01566135,0.311,1.0,0
F02,pressure_nt_only,2,0.622,1.01566135,1.01566135,0.311,1.0,0
F02,pressure_nt_only,3,0.933,1.01566135,1.01566135,0.311,1.0,0
F02,pressure_nt_only,4,0.22833865,1.01566135,1.01566135,0.311,1.0,1
F02,pressure_nt_only,5,0.53933865,1.01566135,1.01566135,0.311,1.0,0
F02,pressure_nt_only,6,0.85033865,1.01566135,1.01566135,0.311,1.0,0
F02,pressure_nt_only,7,0.14567731,1.01566135,1.01566135,0.311,1.0,1
