family,healthy_quiet_pass,endogenous_recovery_pass,attention_overheat_pass,ev_propagation_pass,ev_induction_pass,ev_retention_pass,ev_saturated_pass,disabled_quiet_pass,all_ok,er_decay_delta,ev_decay_delta_silent,cam_delta_overheat,ev_prop_delta,er_induction_delta,ev_decay_delta_retention,ev_decay_delta_saturated
F01,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F02,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F03,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F04,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F05,1,1,1,1,1,1,1,1,1,0.003,0.003,-2.0,0.05,0.04,0.003,0.004
F06,1,1,1,1,1,1,1,1,1,0.003,0.003,-2.0,0.05,0.04,0.003,0.004
F07,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F08,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F09,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F10,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F11,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
F12,1,1,1,1,1,1,1,1,1,0.004,0.004,-2.0,0.05,0.04,0.003,0.004
