family,packet_multimodal_bound_case_ok,packet_wrong_anchor_control_case_ok,packet_attribute_folded_control_case_ok,runtime_tool_binding_case_ok,runtime_wrong_target_control_case_ok,runtime_invalid_role_control_case_ok,packet_multimodal_pass,packet_wrong_anchor_pass,packet_folded_control_pass,runtime_tool_binding_pass,runtime_wrong_target_pass,runtime_invalid_role_pass,all_ok,packet_attr_item_present_ratio,packet_attr_modality_ok_ratio,packet_attr_source_ok_ratio,runtime_attr_modality_ok_ratio,runtime_attr_source_ok_ratio
F01,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F02,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F03,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F04,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F05,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F06,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F07,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F08,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F09,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F10,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F11,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
F12,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0
