family,branch,branch_label,case_counted_steps,source_ev,low_budget_ev,expected_sequence,top_sequence,expected_hit_ratio,chain_order_ok,target_chain_ok,next_seed_from_previous_top_count,next_seed_from_previous_top_ratio,wrong_target_quiet,low_budget_quiet,no_carry_stalled,branch_switched,terminal_stopped,terminal_followup_target_count,terminal_step_index,carried_source_ids
F01,chain_follow,连续承接,3,1.0,0.012,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F01,wrong_seed_control,错误种子对照,2,1.0,0.012,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F01,low_budget_control,低预算剪枝,1,1.0,0.012,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F01,no_carry_control,无承接对照,3,1.0,0.012,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F01,branch_switch,权重转向,3,1.0,0.012,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F01,terminal_stop,终端停止,3,1.0,0.012,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F02,chain_follow,连续承接,3,1.01,0.013,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F02,wrong_seed_control,错误种子对照,2,1.01,0.013,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F02,low_budget_control,低预算剪枝,1,1.01,0.013,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F02,no_carry_control,无承接对照,3,1.01,0.013,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F02,branch_switch,权重转向,3,1.01,0.013,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F02,terminal_stop,终端停止,3,1.01,0.013,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F03,chain_follow,连续承接,3,1.02,0.014,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F03,wrong_seed_control,错误种子对照,2,1.02,0.014,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F03,low_budget_control,低预算剪枝,1,1.02,0.014,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F03,no_carry_control,无承接对照,3,1.02,0.014,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F03,branch_switch,权重转向,3,1.02,0.014,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F03,terminal_stop,终端停止,3,1.02,0.014,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F04,chain_follow,连续承接,3,1.03,0.015,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F04,wrong_seed_control,错误种子对照,2,1.03,0.015,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F04,low_budget_control,低预算剪枝,1,1.03,0.015,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F04,no_carry_control,无承接对照,3,1.03,0.015,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F04,branch_switch,权重转向,3,1.03,0.015,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F04,terminal_stop,终端停止,3,1.03,0.015,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F05,chain_follow,连续承接,3,1.04,0.016,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F05,wrong_seed_control,错误种子对照,2,1.04,0.016,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F05,low_budget_control,低预算剪枝,1,1.04,0.016,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F05,no_carry_control,无承接对照,3,1.04,0.016,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F05,branch_switch,权重转向,3,1.04,0.016,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F05,terminal_stop,终端停止,3,1.04,0.016,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
