family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F01,chain_follow,连续承接,1,A,st_000001,1.0,AB,AB,structure,st_000002,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,chain_follow,连续承接,2,AB,st_000002,1.0,ABC,ABC,structure,st_000003,,0.64285714,2,0,1,1,0,0,1,1,0,0,0
F01,chain_follow,连续承接,3,ABC,st_000003,1.0,memory:terminal,memory:terminal,memory,st_000004,em_000001,1.0,1,1,1,1,0,0,0,0,1,0,0
F01,wrong_seed_control,错误种子对照,1,D,st_000013,1.0,DX,memory:distractor,memory,st_000014,em_000005,1.0,1,1,1,1,0,0,0,0,0,0,1
F01,wrong_seed_control,错误种子对照,2,DX,st_000014,1.0,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F01,low_budget_control,低预算剪枝,1,A,st_000017,0.012,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F01,no_carry_control,无承接对照,1,A,st_000025,1.0,AB,AB,structure,st_000026,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,no_carry_control,无承接对照,2,A,st_000025,1.0,AB,AB,structure,st_000026,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,no_carry_control,无承接对照,3,A,st_000025,1.0,AB,AB,structure,st_000026,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,branch_switch,权重转向,1,A,st_000033,1.0,AB,AB,structure,st_000034,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,branch_switch,权重转向,2,AB,st_000034,1.0,ABY,ABY,structure,st_000039,,0.64285714,2,0,1,1,0,0,1,1,0,0,0
F01,branch_switch,权重转向,3,ABY,st_000039,1.0,memory:switch,memory:switch,memory,st_000040,em_000015,1.0,1,1,1,1,0,0,0,0,0,1,0
F01,terminal_stop,终端停止,1,A,st_000041,1.0,AB,AB,structure,st_000042,,1.0,1,0,1,1,0,1,0,0,0,0,0
F01,terminal_stop,终端停止,2,AB,st_000042,1.0,ABC,ABC,structure,st_000043,,0.64285714,2,0,1,1,0,0,1,1,0,0,0
F01,terminal_stop,终端停止,3,ABC,st_000043,1.0,memory:terminal,memory:terminal,memory,st_000044,em_000016,1.0,1,1,1,1,0,0,0,0,1,0,0
F01,terminal_stop,终端停止,4,ABCD,st_000044,1.0,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F02,chain_follow,连续承接,1,A,st_000049,1.01,AB,AB,structure,st_000050,,1.01,1,0,1,1,0,1,0,0,0,0,0
F02,chain_follow,连续承接,2,AB,st_000050,1.01,ABC,ABC,structure,st_000051,,0.64026786,2,0,1,1,0,0,1,1,0,0,0
F02,chain_follow,连续承接,3,ABC,st_000051,1.01,memory:terminal,memory:terminal,memory,st_000052,em_000019,1.01,1,1,1,1,0,0,0,0,1,0,0
F02,wrong_seed_control,错误种子对照,1,D,st_000061,1.01,DX,memory:distractor,memory,st_000062,em_000023,1.01,1,1,1,1,0,0,0,0,0,0,1
